"Liver_lipid","Liver_ba","bicor","adj_pval"
"TG.49.2.FA14.0","TLCA",0.647797091407828,4.08654472414956e-06
"TG.49.2.FA15.0","TLCA",0.635488929189962,6.78370919422604e-06
"TG.49.2.FA16.0","TLCA",0.690031715552829,5.07049323666538e-07
"TG.49.2.FA16.1","TLCA",0.688027092897244,5.62245437937773e-07
"TG.49.2.FA17.0","TLCA",0.681664346765701,7.8420260291687e-07
"TG.49.2.FA18.1","TLCA",0.655941530033224,3.05275372398063e-06
"TG.49.2.FA18.2","TLCA",0.516192666502457,0.000699413514779297
"TG.49.3.FA15.0","TLCA",0.420141179860686,0.0119542602568237
"TG.49.3.FA16.0","TLCA",0.545518120365014,0.000249034158007363
"TG.49.3.FA16.1","TLCA",0.649257973173665,3.89416903664756e-06
"TG.49.3.FA18.2","TLCA",0.446461149391622,0.00599095109396902
"TG.49.3.FA18.3","TLCA",0.391007159858894,0.0437549299840578
"TG.50.0.FA14.0","TLCA",0.696098380743943,1.79338900107094e-06
"TG.50.0.FA16.0","TLCA",0.728049891116212,1.03954193600369e-07
"TG.50.0.FA18.0","TLCA",0.732079563675168,1.03954193600369e-07
"TG.50.1.FA14.0","TLCA",0.733591139191493,1.03954193600369e-07
"TG.50.1.FA16.0","TLCA",0.727220931834526,1.03954193600369e-07
"TG.50.1.FA16.1","TLCA",0.733105002569571,1.03954193600369e-07
"TG.50.1.FA18.0","TLCA",0.738133500335049,1.03954193600369e-07
"TG.50.1.FA18.1","TLCA",0.730877495806877,1.03954193600369e-07
"TG.50.1.FA20.1","TLCA",0.712020562820171,3.29785674977398e-07
"TG.50.2.FA14.0","TLCA",0.729534931292924,1.03954193600369e-07
"TG.50.2.FA14.1","TLCA",0.717651689339722,1.58047381488618e-07
"TG.50.2.FA16.0","TLCA",0.730844116645525,1.03954193600369e-07
"TG.50.2.FA16.1","TLCA",0.732691770486387,1.03954193600369e-07
"TG.50.2.FA18.0","TLCA",0.72154813491112,1.09999872997622e-07
"TG.50.2.FA18.1","TLCA",0.734059627048463,1.03954193600369e-07
"TG.50.2.FA18.2","TLCA",0.700064203440125,2.89287987442113e-07
"TG.50.2.FA20.2","TLCA",0.64039413172649,4.71684581486703e-05
"TG.50.3.FA14.0","TLCA",0.610790375865438,2.02661158191717e-05
"TG.50.3.FA14.1","TLCA",0.706849445565381,2.01677282864369e-07
"TG.50.3.FA16.0","TLCA",0.683839810767636,6.87416313737998e-07
"TG.50.3.FA16.1","TLCA",0.714022884578103,1.54967149006511e-07
"TG.50.3.FA18.0","TLCA",0.657112835552954,2.99300597857726e-06
"TG.50.3.FA18.1","TLCA",0.713523345907403,1.54967149006511e-07
"TG.50.3.FA18.2","TLCA",0.671394689461968,1.39606767124805e-06
"TG.50.3.FA18.3","TLCA",0.668549873719546,1.62621123122384e-06
"TG.50.3.FA20.3","TLCA",0.51624944653427,0.000926912565919729
"TG.50.4.FA14.0","TLCA",0.152446378760361,0.499098336316194
"TG.50.4.FA14.1","TLCA",0.529396616874055,0.00044439786106166
"TG.50.4.FA16.0","TLCA",0.65110941601063,3.58538826135252e-06
"TG.50.4.FA16.1","TLCA",0.661568162871723,2.36951054532674e-06
"TG.50.4.FA18.1","TLCA",0.679667890260772,8.82924108619304e-07
"TG.50.4.FA18.2","TLCA",0.602716840952927,2.88513319315922e-05
"TG.50.4.FA18.3","TLCA",0.57860881600659,7.20527515650325e-05
"TG.50.4.FA20.3","TLCA",0.504220688269928,0.00179851293199814
"TG.50.4.FA20.4","TLCA",0.257742797780787,0.177516876480127
"TG.50.5.FA14.0","TLCA",-0.0909274164702243,0.7184932926449
"TG.50.5.FA16.0","TLCA",0.402159761682469,0.0182162209427583
"TG.50.5.FA16.1","TLCA",0.597205045961632,3.58399659922735e-05
"TG.50.5.FA18.1","TLCA",0.653058740246733,3.34953582539063e-06
"TG.50.5.FA18.2","TLCA",0.247648160642192,0.196075704599093
"TG.50.5.FA18.3","TLCA",0.481188187665226,0.00218017430889913
"TG.50.5.FA20.4","TLCA",0.328738026352928,0.0649184579684795
"TG.50.5.FA20.5","TLCA",0.317746565370991,0.202783321078703
"TG.50.6.FA20.4","TLCA",-0.106170874312068,0.83486167764257
"TG.51.0.FA16.0","TLCA",0.706708132887167,2.01677282864369e-07
"TG.51.0.FA17.0","TLCA",0.73524793504174,1.03954193600369e-07
"TG.51.0.FA18.0","TLCA",0.706677392700972,2.01677282864369e-07
"TG.51.1.FA15.0","TLCA",0.66770475887253,1.68096524320735e-06
"TG.51.1.FA16.0","TLCA",0.724065242119152,1.09338868857077e-07
"TG.51.1.FA17.0","TLCA",0.723989624751786,1.09338868857077e-07
"TG.51.1.FA18.0","TLCA",0.691229266999179,4.77475514657002e-07
"TG.51.1.FA18.1","TLCA",0.721712064463588,1.09999872997622e-07
"TG.51.2.FA15.0","TLCA",0.66774714522983,1.68096524320735e-06
"TG.51.2.FA16.0","TLCA",0.713806270818419,1.54967149006511e-07
"TG.51.2.FA16.1","TLCA",0.716152692466993,1.44229349823816e-07
"TG.51.2.FA17.0","TLCA",0.711312686961462,1.70562403604746e-07
"TG.51.2.FA18.1","TLCA",0.700469014167501,2.83603024433665e-07
"TG.51.2.FA18.2","TLCA",0.596669460475696,3.66156503722336e-05
"TG.51.3.FA15.0","TLCA",0.449576759153163,0.00551923153216621
"TG.51.3.FA16.1","TLCA",0.701080389569871,2.77676747296434e-07
"TG.51.3.FA17.0","TLCA",0.619084915231621,1.42067339301463e-05
"TG.51.3.FA18.2","TLCA",0.564119924709912,0.000122350298615237
"TG.51.3.FA18.3","TLCA",0.531975836775182,0.000406616643619458
"TG.51.4.FA15.0","TLCA",-0.136439649258423,0.547085682757984
"TG.51.4.FA16.1","TLCA",0.601656822739016,3.00429650877702e-05
"TG.51.4.FA18.2","TLCA",0.35921268150118,0.0382276434352444
"TG.51.4.FA18.3","TLCA",0.435079315337002,0.00810387221660834
"TG.51.4.FA20.4","TLCA",0.198414206462837,0.435971468435338
"TG.51.5.FA18.2","TLCA",0.0295456274294957,0.938330587696751
"TG.51.5.FA18.3","TLCA",0.0895875765305275,0.730407329530646
"TG.52.0.FA16.0","TLCA",0.723599708485032,1.09338868857077e-07
"TG.52.0.FA18.0","TLCA",0.728371384693164,1.03954193600369e-07
"TG.52.0.FA20.0","TLCA",0.532198661894542,0.000405160682040835
"TG.52.1.FA16.0","TLCA",0.729879607785967,1.03954193600369e-07
"TG.52.1.FA16.1","TLCA",0.730386741011156,1.03954193600369e-07
"TG.52.1.FA18.0","TLCA",0.72844521836078,1.03954193600369e-07
"TG.52.1.FA18.1","TLCA",0.729060282462466,1.03954193600369e-07
"TG.52.1.FA20.0","TLCA",0.568818000036555,0.000102209645480027
"TG.52.1.FA20.1","TLCA",0.726558661872551,1.05109451926026e-07
"TG.52.2.FA14.0","TLCA",0.711252269066309,1.70562403604746e-07
"TG.52.2.FA16.0","TLCA",0.73283880837623,1.03954193600369e-07
"TG.52.2.FA16.1","TLCA",0.733839126741237,1.03954193600369e-07
"TG.52.2.FA18.0","TLCA",0.731457472742835,1.03954193600369e-07
"TG.52.2.FA18.1","TLCA",0.730117240598989,1.03954193600369e-07
"TG.52.2.FA18.2","TLCA",0.713042186773536,1.58047381488618e-07
"TG.52.2.FA20.0","TLCA",0.650931375249788,3.58541583248128e-06
"TG.52.2.FA20.1","TLCA",0.729082378271035,1.03954193600369e-07
"TG.52.2.FA20.2","TLCA",0.686921260924757,5.87533508807635e-07
"TG.52.3.FA14.0","TLCA",0.643877096416309,4.85755287157382e-06
"TG.52.3.FA16.0","TLCA",0.709354063037348,1.83952709252778e-07
"TG.52.3.FA16.1","TLCA",0.72821560081767,1.03954193600369e-07
"TG.52.3.FA18.0","TLCA",0.707234514148639,2.01101823397146e-07
"TG.52.3.FA18.1","TLCA",0.721487610795924,1.09999872997622e-07
"TG.52.3.FA18.2","TLCA",0.706966369826997,2.01677282864369e-07
"TG.52.3.FA18.3","TLCA",0.673008172233706,1.28247163229262e-06
"TG.52.3.FA20.0","TLCA",0.701238008277839,2.77676747296434e-07
"TG.52.3.FA20.1","TLCA",0.697150968550822,3.38450402765946e-07
"TG.52.3.FA20.2","TLCA",0.687023239609007,5.87533508807635e-07
"TG.52.3.FA20.3","TLCA",0.616006809920559,1.6098492743245e-05
"TG.52.3.FA22.1","TLCA",0.691982848630666,4.59144487868921e-07
"TG.52.4.FA14.0","TLCA",0.534675726611779,0.000369978647896332
"TG.52.4.FA16.0","TLCA",0.137470704925819,0.545336110745628
"TG.52.4.FA16.1","TLCA",0.687628526574481,5.74316415937924e-07
"TG.52.4.FA18.0","TLCA",0.627811550806053,9.55431420166017e-06
"TG.52.4.FA18.1","TLCA",0.696214156309074,3.59558362593439e-07
"TG.52.4.FA18.2","TLCA",0.376750048825874,0.0292333275880632
"TG.52.4.FA18.3","TLCA",0.656132547455603,3.05275372398063e-06
"TG.52.4.FA20.0","TLCA",0.154042759156545,0.494830271238602
"TG.52.4.FA20.2","TLCA",0.655552710895972,3.06901763991006e-06
"TG.52.4.FA20.3","TLCA",0.597756967345447,3.52659043816419e-05
"TG.52.4.FA20.4","TLCA",0.399581946090643,0.0191814937444934
"TG.52.4.FA22.1","TLCA",0.663852967467747,2.08818971615918e-06
