"Liver_lipid","Biliary_ba","bicor","adj_pval"
"CE.12.0","3b7a12a",0.309129182885492,0.597909675212765
"CE.14.0","3b7a12a",-0.261085125802325,0.211290565136067
"CE.14.1","3b7a12a",0.144932788119323,0.610016806440309
"CE.15.0","3b7a12a",-0.343447037721826,0.0742665705972211
"CE.16.0","3b7a12a",-0.174216389081378,0.46655007012677
"CE.16.1","3b7a12a",-0.175147699400558,0.464107941981681
"CE.17.0","3b7a12a",-0.305859660685442,0.122968829365619
"CE.18.0","3b7a12a",-0.230060967687339,0.290545110805082
"CE.18.1","3b7a12a",-0.216996165335099,0.329484783320942
"CE.18.2","3b7a12a",-0.319022808558554,0.102724909886486
"CE.18.3","3b7a12a",-0.111924632060664,0.675588948277493
"CE.18.4","3b7a12a",-1,NA
"CE.20.0","3b7a12a",-0.325220943690243,0.0935287641448077
"CE.20.1","3b7a12a",-0.189747218981269,0.417041858653643
"CE.20.2","3b7a12a",-0.11404092566248,0.671996790790397
"CE.20.3","3b7a12a",-0.283757882678984,0.160875028814678
"CE.20.4","3b7a12a",-0.362236080488987,0.051364650812921
"CE.20.5","3b7a12a",0.275229360866379,0.240583357502177
"CE.22.0","3b7a12a",-0.0167367600297705,1
"CE.22.1","3b7a12a",-0.269107603839418,0.216159251996631
"CE.22.2","3b7a12a",-0.662417552496733,0.000848126284172612
"CE.22.4","3b7a12a",-0.0835313880297831,0.904265554982195
"CE.22.5","3b7a12a",-0.308007364512992,0.124030400713515
"CE.22.6","3b7a12a",-0.2296393205269,0.291659821388542
"CE.24.0","3b7a12a",-0.599782131680901,0.00118087361910779
"CE.24.1","3b7a12a",-0.297775121059725,0.499873600452334
"Cer.d18.0.16.0","3b7a12a",-0.178954147188308,0.473371673986813
"Cer.d18.0.20.0","3b7a12a",-0.374058251563475,0.669695154373177
"Cer.d18.0.22.0","3b7a12a",-0.311153079468203,0.119071722249807
"Cer.d18.0.24.0","3b7a12a",0.08149721356882,0.854072527529769
"Cer.d18.0.24.1","3b7a12a",0.251762365608744,0.237678620039393
"Cer.d18.1.14.0","3b7a12a",-0.10286004486553,0.768887588499405
"Cer.d18.1.16.0","3b7a12a",-0.313094593398892,0.111770657390514
"Cer.d18.1.18.0","3b7a12a",-0.399084306299418,0.0251038257546201
