"Plasma_lipid","Biliary_ba","bicor","adj_pval"
"FA.16.0","3b7a12a",-0.310569806073853,0.100123601393233
"FA.16.1","3b7a12a",-0.450664110370238,0.00801740012022874
"FA.17.0","3b7a12a",-0.59632496565054,0.000480768423065641
"FA.18.0","3b7a12a",-0.332621938420534,0.0727226209528806
"FA.18.1","3b7a12a",-0.373197869887279,0.0373629718710918
"FA.18.2","3b7a12a",0.366238282866252,0.0423458381152271
"FA.18.3","3b7a12a",0.20623021419998,0.34112021955252
"FA.18.4","3b7a12a",0.41709401804404,0.0160773967095025
"FA.20.0","3b7a12a",-0.00829491414203601,1
"FA.20.1","3b7a12a",-0.0955124623384369,0.757429693790145
"FA.20.2","3b7a12a",0.417993346660566,0.0158609425046248
"FA.20.3","3b7a12a",0.0477763618591007,0.931613001865714
"FA.20.4","3b7a12a",0.29923877067291,0.115826300770153
"FA.20.5","3b7a12a",0.413174656058318,0.0175443346197085
"FA.22.0","3b7a12a",0.308280308910651,0.103536937693583
"FA.22.1","3b7a12a",0.384893627761143,0.0301635180297823
"FA.22.2","3b7a12a",-0.0945199443528668,0.760778315586461
"FA.22.4","3b7a12a",0.552260903416725,0.000797093202015391
"FA.22.5","3b7a12a",0.548563047488737,0.000847358351907276
"FA.22.6","3b7a12a",0.45901732787533,0.00663839467219684
"FA.24.0","3b7a12a",0.0784023613815773,0.820174810304692
"FA.24.1","3b7a12a",0.455741132986938,0.00712993662145648
"HexCER.d18.1.16.0","3b7a12a",-0.339010148002748,0.0659605314685129
"HexCER.d18.1.18.0","3b7a12a",-0.0260722809130544,1
"HexCER.d18.1.18.1","3b7a12a",0.177610435944873,0.914668908870948
"HexCER.d18.1.20.0","3b7a12a",-0.314004386920632,0.0955126923841918
"HexCER.d18.1.20.1","3b7a12a",0.344347138994604,0.178549596479302
"HexCER.d18.1.22.0","3b7a12a",-0.565767264790053,0.000648713430099679
"HexCER.d18.1.22.1","3b7a12a",-0.37679326842091,0.0347796702010259
"HexCER.d18.1.24.0","3b7a12a",-0.461307397284045,0.00630506446116513
"HexCER.d18.1.24.1","3b7a12a",-0.368002551198259,0.0410221364307795
"LPC.14.0","3b7a12a",-0.591819293694834,0.000522025656018219
"LPC.15.0","3b7a12a",-0.680216917159642,4.35503664916361e-05
"LPC.16.0","3b7a12a",-0.0217136211297856,1
"LPC.16.1","3b7a12a",-0.475198255705862,0.00458497474493471
"LPC.17.0","3b7a12a",-0.439453906835162,0.0102630666032919
"LPC.18.0","3b7a12a",-0.0982489736743265,0.746513821305266
"LPC.18.1","3b7a12a",-0.348425790329424,0.0571862466524025
"LPC.18.2","3b7a12a",0.210661069002017,0.326886018974348
