Cyp51
Cyp2c29
Ikbkg
Lbr
Ndrg1
Cyp2a5
Rad51c
Aldh1a3
Cyp2j9
Gadd45b
Clpx
Gnrh1
Aldoc
Rab11fip4
Sgk2
Gdf9
Dnah11
Etnppl
Tcp11l2
Lpin1
Rrm2
Klf11
Abcc3
Hmgcr
Nid2
Fam134b
Sqle
Srl
Csad
1600002H07Rik
Stard4
Grpel2
Tnfrsf25
Tm7sf2
Gldc
Got1
Hsd17b6
Gm4956
Npas2
Nabp1
Inpp4a
Tuba4a
Slc30a10
Meig1
Hsd17b7
Adal
Car3
Smad9
Gstm4
Pmvk
Ntrk1
Bdh2
Cth
Mycl
Cyp4a31
Cyp4a14
Clcn6
Ugdh
Cyp3a25
Slco1a4
Cyp2b10
Gas2
Vwa3a
Glt28d2
Nsdhl
Arhgap6
Pir
Figf
Pdgfrl
Msmo1
Lpar2
Bud13
Gsta4
Slc16a1
Lss
Gstt2
Pknox2
Tubb4b
Klf10
Fam198a
Txnip
Egr1
Cyp3a16
Elovl3
9130409I23Rik
Ephx1
Camk1d
Zdhhc2
6430573F11Rik
Disp2
Ccbl2
Pogk
Creg1
Npnt
Fam35a
Myrip
Tdrkh
Zfand4
Bag2
Gnl3
Dlgap3
Arrdc4
Jph1
Greb1l
Gpr135
Chd3os
Gls2
Slc35g1
Pcsk9
Snhg11
Serpinb1a
BC106179
Insig1
Fbxo30
Angptl8
Rbm33
Sacs
Ccdc169
4933408B17Rik
Fbxl22
Asap2
Ptprt
Raet1e
Syne3
Cyp3a44
Sytl5
9130230L23Rik
Arntl
Ces2a
Cyp3a11
Retsat
Gapdh
Gsta2
Idi1
Fdps
Zbtb40
Cyp3a59
Aox1
Ethe1
mt-Ti
Rdh11
Zbtb16
4921513D11Rik
Akr1c19
Gm4952
Gm15401
Plekhf1
Gm15441
Cyp2c68
Ces1b
Col4a3
3110001I22Rik
Gm13502
Gm11832
Marcksl1-ps4
E130102H24Rik
2900089D17Rik
1500017E21Rik
Slc5a3
Gm5873
Hmgcs1
9030616G12Rik
2310015A10Rik
Tcf24
Tubb4b-ps2
4732465J04Rik
Gm37784
6820402A03Rik
Gm37296
Gm42937
Gm42614
Cyp3a63-ps
Gm43598
Gm43597
Gm44244
RP23-198F11.3
RP23-465D7.3
