Tfe3
Scpep1
Tom1l2
Atp5f1
Gm2a
Kat2b
Pxmp4
Pcnt
Mef2d
Tmem79
Cyp51
Tubb5
Ifrd1
Stk38l
Gramd3
Paxip1
Angptl4
Map2k7
Timm44
Hbp1
Cyp2c29
Tbc1d8
Crot
Cdip1
Ikbkg
Lbr
Ndrg1
Mprip
Dnajb1
Igf1r
Cyp2a5
Zfp592
Nr2c1
Ccdc159
Pgrmc1
Gcat
Rbm14
Rad51c
Ankrd26
Mid1ip1
Fnbp4
1700109H08Rik
Ubqln4
Mcu
Kdsr
AI597479
Plin5
Evi5
Klhl3
Aldh1a3
Cyp2j9
Gadd45b
Clpx
Tab2
Qdpr
Amdhd1
Gtf2ird2
Chdh
Celsr1
Ppfibp1
Srsf6
Aldoc
Psmd11
Rab11fip4
Sgk2
Hnf4a
Med13l
Gdf9
Shroom1
Derl2
Pip4k2b
Dnah11
Slc22a5
P4ha2
Ccl9
Etnppl
Stxbp5
Ptprk
Hbs1l
Arg1
Map7
Ntn4
Tcp11l2
Cnot2
Snrpd3
Pex13
Cpeb4
Zfp354a
Canx
Smek2
Ppm1d
Ggnbp2
Lpin1
Prkar1a
Abca8b
Rnf144a
Rrm2
Klf11
Tlk2
Ern1
Cluh
Rabep1
Luc7l3
Abcc3
Fbxl20
Ppp2r5e
Papola
Akr1c12
Akr1c13
0610007P14Rik
Eif5
Slc17a1
Nol8
Wrnip1
Snrnp48
Sfxn1
Aaed1
Dapk1
Ccdc127
Nsun2
Ocln
Mccc2
Hmgcr
Jmy
Pdhb
Kctd6
Samd8
Ngly1
Glud1
Nid2
Hacl1
Spryd7
Cryl1
Bnip3l
Xpo7
Ropn1l
Tars
Sdc2
Fam134b
Slc25a32
Hrsp12
Sqle
Brd1
Mief1
Slc38a2
Srebf2
1810013L24Rik
Srl
Zfp263
Zbtb11
Qtrtd1
Dgcr8
Crybg3
Dlg1
Dirc2
Brwd1
Kansl2
Csad
Ccl25
Stk38
Glo1
Qpct
Hnrnpll
1600002H07Rik
Mapk8ip3
Sos1
Zfp397
Hspa9
Stard4
Iws1
Smad2
Grpel2
Tmx3
Hmgxb3
Osbp
Keg1
Cdc37l1
Tm7sf2
Uhrf2
Gldc
Smc5
Sf1
Stip1
Shoc2
Maoa
Pcgf6
Gsto1
Got1
Mgea5
Parp6
Rabgef1
Atp5b
Hsd17b6
Paox
Eps8l2
Pidd1
Jade1
Sec61a2
Faf2
Aasdhppt
Gm4956
Idh1
Npas2
Inpp4a
Pnkd
Tuba4a
Capn10
Gin1
Nek7
Elk4
Klhl12
Dcaf6
Slc30a10
Marc1
Nmt2
Hsd17b7
Stam
Mllt10
Tsc1
Kynu
Strbp
Wdr5
Camsap1
Abcb11
Zc3h15
Myef2
Adal
Mkks
Mtch2
Mgme1
Tbc1d20
Snx16
Car3
Acss2
Ndrg3
Zfp639
Mfn1
Sucnr1
Smad9
Tsc22d2
Ccnl1
Gdap2
Pmvk
Pla2g12a
Tdo2
2810403A07Rik
Ntrk1
Sh3d19
Gclm
Ptbp2
Bdh2
Cth
Zranb2
Bcl10
Nbn
Hsdl2
Nfx1
Dcaf12
Ubap1
Mier1
Nfia
Trit1
Mycl
Srsf10
Cyp4a31
Ptpn12
Clcn6
Ccnl2
Ube2k
Clock
Paics
Afm
Ccng2
Atp2a2
Ulk1
Cyp3a25
Cdk8
Cul1
Agfg2
Pon3
Nt5c3
Dusp11
Bhlhe40
Gabarapl1
Slco1a4
Rassf8
Creld1
Cyp2b10
Gas2
Eed
Zfand6
Rab30
Cyp2r1
Rabep2
Kat8
Tial1
Fgfr2
Ndufab1
Knop1
Atp6ap2
Gpkow
Glt28d2
Nsdhl
Arhgap6
Zfp275
Pir
Figf
Mak16
Gsr
Pdgfrl
Msmo1
Sorbs2
Casp3
Rfx1
Ces1f
Cfap20
Usp10
Pde4c
BC021891
Mau2
Lpar2
Tmem170
Wdr59
Acad8
Bud13
Zpr1
C2cd2l
Myo1e
Rora
Glce
1700017B05Rik
Clk3
Gsta4
Gclc
Usp3
Smad3
Tfdp2
Cdc25a
Nktr
Flcn
Atxn2l
Pon2
Trib3
Ablim3
Abcc4
Slc16a1
Lss
Gstt2
Gucd1
Upb1
Rbfox2
Asb13
Mrpl15
Klf9
Sik3
Lrrc58
Chchd4
Plekhm1
Mtmr3
Cpsf7
Oser1
Ric8b
Rsf1
Polr3g
Pawr
Pknox2
Nepro
9530068E07Rik
Btg1
Ppfibp2
Tbc1d9b
Tubb4b
Klhl13
Topors
Syde2
Dna2
Rnf139
Ralgapa2
E330009J07Rik
Klf10
Mavs
Atg14
Fbxo34
Wdtc1
Bri3bp
Bicd2
Rilp
Fam198a
Mical2
Egr1
Car14
Phrf1
Degs1
Cyp3a16
Taf5l
Elovl3
9130409I23Rik
Sde2
Trmt112
Ralgps1
Ythdf1
Baiap2l1
Zcchc2
Rnf146
Rabggtb
Bmp6
Camk1d
Tbce
Foxk2
Mreg
Zdhhc2
Cep104
6430573F11Rik
Htatip2
Rhou
Edrf1
Elavl1
Disp2
Sdr9c7
Ccbl2
Tex2
Pogk
Mis12
Creg1
Slc25a34
Cept1
Npnt
Otud3
Atg2b
Tardbp
Fam35a
Ago1
Sox5
Fam104a
Ppp2r2d
Myrip
Tdrkh
Pkp2
Znrf3
Arhgef11
Zfand4
Bag2
Tmc7
Cyp2c37
Pelo
Gnl3
Fam83g
Dlgap3
Zfp410
Prdm10
Stk40
Arrdc4
Garem
Jph1
Pyurf
Simc1
Gpr135
Chd3os
Ccdc84
Pura
Mgat2
Gls2
Slc35g1
Als2cl
Pcsk9
Snhg11
Serpinb1a
Trmt10c
D1Ertd622e
Magi1
BC106179
Insig1
Trim39
Yod1
Cmtr2
Unc119b
Gm5424
Ctdspl
Tmem41b
Fbxo30
Wbp1l
Angptl8
Isg20l2
Rbm33
Sacs
Socs4
Lurap1l
Phf3
Hexim1
Zfp689
C1galt1c1
Rapgef4
Sephs2
4933408B17Rik
Spty2d1
Zfp646
Zfp280b
Sertad2
Suox
Snip1
C77080
Ppp1r3g
Fbxl22
Zfp623
Sgms2
Taf7
Pcdh1
Zfp24
Cbr1
Tagap1
Hook2
Plekhg3
Asap2
Fbxo31
Cyp2f2
Tmem248
Ptprt
Raet1e
Kdm3a
Ubxn7
Fpgt
Slc39a8
Lgals4
Syne3
Zfp747
Cyp3a44
Sytl5
9130230L23Rik
Ugt2b5
Arntl
Kcmf1
Pprc1
Cpsf6
Emc7
Cyp3a11
Mia3
Cebpg
Tgoln1
Retsat
D17Wsu92e
Cfhr1
Arhgap24
Ces1c
Gapdh
Gsta2
Usf2
Idi1
Gpr182
Nap1l1
Gckr
Fdps
9430015G10Rik
Zbtb40
Rrs1
Ppm1b
Cyp3a59
Ddhd2
Naca
Ces1e
Cnr2
Mysm1
Ing2
Usp31
Alg11
Syne2
Aox1
Crem
Brpf3
Nr6a1
Prr36
Ethe1
mt-Rnr2
mt-Ti
Slc31a1
Rdh11
Zbtb16
4921513D11Rik
Xkr9
Zfp120
Gstm6
Cgn
Fgfr1op
Ugt2b36
Zfp942
Tbpl1
Map3k5
1110002L01Rik
Akr1c19
Gm4952
Ppia
Gm15401
Prr16
Ggh
Plekhf1
Zfp568
Gm10658
Gm15441
Cyp2c68
Rc3h2
Acsf2
Ass1
AU022252
Ak6
Ces1b
Fastkd5
Gm4204
Rab10os
Rab9
Col4a3
3110001I22Rik
Gm14048
Gm13502
Gm11832
Marcksl1-ps4
Gt(ROSA)26Sor
E130102H24Rik
Tmem170b
2900089D17Rik
Slc5a3
Gm16586
Hiat1
Cfhr3
Gm17251
Smim13
Lamtor3
Zfp141
Med20
Gm5873
Hmgcs1
Ap3s1-ps2
Gm21781
A330023F24Rik
9330151L19Rik
6720427I07Rik
9030616G12Rik
2310015A10Rik
Tcf24
Gm7160
Tubb4b-ps2
4732465J04Rik
Gm37784
Gm37305
Gm21710
Gm42937
Gm43189
Cyp3a63-ps
Gm43072
Gm43429
Gm17936
Gm43800
Gm43598
Gm43597
Gm44244
RP24-470M22.10
RP23-198F11.3
RP24-178G20.2
RP23-465D7.3
