Spg7
Il12rb1
Zfp512b
Oxa1l
Efnb2
Nom1
Tspan33
Chordc1
Ugp2
Trmt1
Ltbp2
Akap8l
Epdr1
Plin4
Pla1a
Bcam
Dlgap1
Dusp3
Ptrf
Zak
Fgfr4
Tfpt
Tek
Itih1
Aprt
Atp1a2
Khsrp
Ick
Ptgds
Stard13
Cd34
Slpi
Pipox
Sept8
Mapt
Myh11
Arrb1
Plagl1
Lama4
Smpdl3a
P4ha1
Hal
Timp3
Pald1
Avpr1a
Rab1a
Csrp2
Mknk2
Igfbp3
Aebp1
Pxdn
Pecam1
Itgb4
Llgl2
Krt19
Mthfd1
Timm9
Pitrm1
Ppp4r4
Acot2
Cyp46a1
Gcnt2
Lrrc14b
Lpcat1
Fam213a
Tkt
Diaph3
Dpysl2
Sema5a
Laptm4b
Angpt1
Desi1
Boc
Serpind1
Arhgap31
Fetub
Robo1
App
Adamts1
Adamts5
Ets2
Prpf40b
Krt7
Cdkn1a
Slc10a2
Fhl1
Ivns1abp
Ube2j2
Tiam2
Mpc1
Cyp4f13
Prkd3
C3
Axin1
Kdm4b
Grm8
Cyp4f14
Proc
Apom
Wdr33
Dhx16
Diaph1
Ap3s1
Hsd17b4
Cidea
Fth1
Syt7
Aldh1a7
Tmem2
Rcl1
Gpam
Acsl5
Fasn
Sema4g
Itgb8
Pa2g4
Mbd6
Tmem47
Paqr8
Slc39a10
Cps1
Ptp4a1
Cyp27a1
Obsl1
2810459M11Rik
Acmsd
Ubxn4
Cyb5r1
Lamc1
Capn2
Tmem63a
Dcaf8
Selp
Fam107b
Sephs1
Mgst3
Mettl13
Nr4a2
Stom
Cers6
Tfpi
Hsd17b12
Jag1
4930402H24Rik
Spred1
Slc20a1
Sdcbp2
E2f1
Car2
Hao2
Clcc1
Aldob
Nr4a3
Chmp5
Epb41l4b
Unc13b
Plin2
Rnf11
Mfsd2a
Cmpk1
Hspg2
Nadk
Prom1
Ppm1g
Slc30a3
Tbc1d1
Pdgfra
Agpat9
Ereg
Vps33a
Aacs
Eln
Gigyf1
Asns
Plxna4
Anxa4
Adamts9
Uba3
Chchd6
Mgp
Itpr2
Scnn1a
Pcsk6
Lrrc28
Fam98c
Bag3
Tacc2
Zranb1
Pdilt
Magix
Porcn
Heph
Pdha1
Gabra3
Gpm6a
Mfap3l
Il34
Tpm4
4931406C07Rik
Aplp2
Ets1
Tagln
Usp28
Tmem266
Trip4
Me1
Stt3b
Map4
Cspg5
Scap
Thsd7a
Bet1
Arhgef17
Fbxo21
Itgbl1
Clec1a
Slc7a6os
Armcx1
Arhgef5
Znrf1
1300017J02Rik
Exoc6b
Farp2
Tspan8
Foxj1
Zfp707
Zfp395
Hsd17b13
Ptpn13
Tle2
Parm1
Acta2
Zhx3
Cd276
Skp1a
Slc18a1
Itih2
Larp1
Limch1
Dzip1l
Adh4
Cpe
Dusp8
Acer2
Notch3
Susd4
Nfe2l1
Fam63a
Nlrp6
Cables2
Adgrg6
Tgfb2
Megf9
Ldb2
Fbxl5
Slc39a5
5330417C22Rik
Sgms1
Gstm2
Cyp2b9
Erf
Foxa3
Arhgef10l
Ghitm
Zfp598
Elovl6
Adgrf1
Fmod
Prelp
Kctd12b
Mpped1
Tmem45b
Pde3a
Ankrd13a
Nfrkb
Atf4
Fbrs
Mfap4
Lrit2
E130012A19Rik
Pkhd1
Shb
Napepld
St7l
Slc16a5
Mtmr11
Sdpr
Pcdhb17
Csnk2a2
Hnf4aos
Cd24a
Rexo1
Fam180a
Zfp30
Fancb
Sned1
Gjb1
Nags
Frmd6
Lhfp
Mlec
Dcun1d3
Vps37c
Zfpm1
Pgrmc2
Fam171a1
Ywhag
Sox12
Zfp622
Slc22a30
Dlg2
Jun
Lamb2
Glis3
Aldh1a1
Cbx7
Rpia
Nebl
Sh2d4a
Msra
Agap1
Med12l
Tatdn2
Atp5sl
Rbbp4
Gpc6
Tubb2a
Cfi
Taok2
Zfp462
Pyroxd2
Gstp1
Acyp2
Cxcl12
Rufy4
Suclg2
Stk24
Tnfrsf11b
Slc24a3
Aox3
Gm16551
Ppp1r3c
Slc22a27
Myl9
Sptbn2
Serpinh1
Rgma
Serpina1d
Tmem139
Eml3
Ganab
Serpina1e
Osgin1
Gsta1
Cyp2a4
Zfos1
BC089597
Slc4a11
Slc22a29
Nrbp2
Gpx4
Nrarp
Tm2d3
Slc8a3
Nhsl2
Tmem243
Gm14680
Gm11843
Esrp2
Gm11967
Mir22hg
Gm11695
A430035B10Rik
4930458D05Rik
Gm8893
Rps27
Gcnt4
Gm6665
Gm21885
Cyp2d10
4632428C04Rik
Gm26908
2310001H17Rik
E030037K01Rik
Gm26578
Gm26967
Snhg6
Gm38381
Pcdhgc3
Gm3934
Gm43314
Gm42715
RP23-181P23.1
RP23-366O14.2
RP23-366O14.6
