Slfn4
Itgb2
Mx1
Acvrl1
Acvr1b
Cd52
Slc7a7
Snapin
Cfp
Oas1c
Ckb
Akr1b3
Capns1
Lrp3
Emd
Blvra
Acp2
Slc39a13
Spi1
Dhrs1
Axl
Tgfb1
Hdgfrp2
Adgre5
Kcnn1
Stard3nl
Lipe
Sri
Hck
Cp
Myo9b
Ly9
Adgre1
Matk
Rasa4
Sgsh
Cd44
Wdr1
Bloc1s6
Prg4
Dhx34
Fam131c
Srm
Cyba
Tspan31
Abhd16a
Ppp2r1a
Arpc5
Tmem86a
Ifi35
Vac14
Tbrg1
Steap4
Mlkl
Tmem175
Med16
Clec4f
Csf1
Lrrk1
Actn1
Abca1
Cybb
Pcolce2
Cd48
Cd83
Nat9
Lpl
Ttbk1
Anp32e
Rxrg
Cd5l
Fcgr1
Mpped2
Plgrkt
Cd274
Atxn10
H3f3b
Il13ra1
Abr
Tha1
Slc12a4
Dhx58
Cadps2
Cyth4
Slc13a3
Slc25a35
Cd68
Ccl6
Map2k3
E2f2
Dnah1
Plod1
Rps6kl1
Gipc1
Plscr3
Slc6a8
Cyb561
Esr1
Lrp11
Fuca2
Mical1
Rtn4ip1
Aim1
Lin7a
Psen1
Cfap54
Slc29a3
Plek
Elane
Slc1a4
Dock2
Meis1
Cobl
Wif1
Irak3
Stk10
Pdlim4
Myo1g
Arf5
Patz1
Trim11
Dbnl
Cnot8
Srebf1
Slc7a15
Arsg
Trappc12
Efr3b
Slc6a4
Blmh
Lrrc59
Pik3r5
Adam11
Eftud2
Scfd1
Serpina3n
9030617O03Rik
Lgmn
Asb2
Evl
Exoc3l4
Exoc2
Tpmt
Ly86
Syk
Cxcl14
Lect2
Cd180
4930452B06Rik
Gdf10
N6amt2
Micu2
Cpb2
Tsc22d1
Elp3
Chrna2
Dok2
Gfra2
Irg1
Slc7a8
Sdr39u1
Gtse1
Zc3h7b
Fam83f
Tab1
Enpp2
Parvg
Myh9
Rpap3
Polr3h
Nckap1l
Litaf
Mefv
Eef2kmt
Slc52a2
Ly6e
Prkdc
Parn
Pmm2
Itgb5
Hcls1
Cd86
Parp9
Runx1
Krt18
Parp3
Clec4n
Rab12
Synj2
Slc22a3
Slc22a1
Nfkbie
Enpp5
Trem2
Fgd2
Abcg1
Rsph1
Slc37a1
Eif2ak2
Srbd1
Tmem8
Anks1
Thada
Dync2li1
Abcg8
Myo1f
Psmb8
Tap2
Slc23a1
Cdc23
Ercc3
Aif1
Gnl1
0610009O20Rik
Lars
Me2
Csf1r
Cndp2
Asrgl1
Ms4a7
Ms4a6d
Slc15a3
Il33
Frmd8
Slc25a45
Acy3
Yif1a
Pcx
Cpt1a
Ehbp1l1
Capn1
Rps6ka4
Fermt3
Vti1a
Pde6c
