Cdc45
Dlat
Slc13a2
Gnmt
Bicd1
Gstm3
Gprc5b
Oit3
Kansl3
Hnrnpl
Acly
Ap3m1
Aifm3
Lpin2
Cyp2c55
Cyp2c44
Map4k4
Nabp1
Epb41l5
Ptpn14
Irf6
Gstm4
Ugdh
Hsph1
Tfpi2
Cnbp
Fam234b
Srgap3
Cyb5b
Nt5e
Slco2a1
Cfhr2
Wnk4
Myrf
Slc17a2
Spg20
Mpp6
Txnip
Otud7b
Ephx1
Slc19a2
Setd1a
Clec14a
Slc25a44
Amigo1
Ces2a
Gstm1
Nrf1
Zfp110
H2-K2
Gm4788
Cox7a1
Zfp872
Raet1d
1500017E21Rik
Ugt1a9
Gstm2-ps1
