Cdc45
Slfn4
Itgb2
Mx1
Cd52
Slc7a7
Oas1c
Cyp51
Akr1b3
Spi1
Axl
Cyp2c29
Hck
Ikbkg
Ly9
Matk
Rasa4
Cd44
Ndrg1
Prg4
Fam131c
Rad51c
Tmem86a
Steap4
Mlkl
Clec4f
Aldh1a3
Gadd45b
Cybb
Cd48
Clpx
Cd83
Ttbk1
Cd5l
Fcgr1
Mpped2
Plgrkt
Cd274
Il13ra1
Rab11fip4
Dhx58
Sgk2
Cyth4
Gdf9
Slc13a3
Dnah11
Slc25a35
Cd68
Ccl6
Dnah1
Etnppl
Rps6kl1
Cyb561
Esr1
Cfap54
Plek
Elane
Slc1a4
Dock2
Wif1
Irak3
Pdlim4
Myo1g
Srebf1
Lpin1
Slc7a15
Arsg
Rrm2
Klf11
Efr3b
Slc6a4
Pik3r5
Adam11
Serpina3n
Asb2
Evl
Exoc3l4
Cxcl14
Lect2
Cd180
Hmgcr
4930452B06Rik
Nid2
Tsc22d1
Dok2
Gfra2
Irg1
Fam134b
Sqle
Fam83f
Parvg
Nckap1l
Srl
Mefv
Ly6e
Csad
Fabp2
Clec4n
Trem2
Abcg1
Rsph1
Slc37a1
Myo1f
Psmb8
Stard4
Aif1
Grpel2
Fads2
Ms4a7
Ms4a6d
Slc15a3
Tm7sf2
Slc25a45
Pde6c
Aldh18a1
Bbs4
Hsd17b6
Agap2
Ifitm3
Irf7
Nptx1
Nrp1
Gm4956
Npas2
Nabp1
Inpp4a
Tuba4a
Marco
Pkp1
Apcs
Slamf9
Slc30a10
Hsd17b7
Trdmt1
Traf1
Ifih1
Ly75
Tcp11l1
Itpka
Siglec1
Gpcpd1
Zbp1
Lrrcc1
Slc7a11
Smad9
Pmvk
Tlr2
Ifi44
Ntrk1
Bdh2
Cth
Gbp3
Coro2a
Col15a1
Fmn2
Orm3
Cd72
Laptm5
Podn
Mycl
Cyp4a31
Extl1
Csf3r
Fgr
Clcn6
Gabrd
Ablim2
Ugdh
Sult1e1
Plac8
Cds1
Slc46a3
Fam3c
Lmod2
Slc13a4
Hpgds
Slc41a3
Usp18
Clec4e
Clec4a2
Bcl2l14
Slco1a4
Cyp2b10
Gas2
Tyrobp
2200002D01Rik
Coro1a
Itgax
Vwa3a
Hpx
Trim30a
Glt28d2
Nsdhl
Arhgap6
Abcd1
Pir
Figf
Ptpn7
Dkk4
Pdgfrl
Msmo1
Hp
Mt2
Lpar2
Pla2g15
Smpd3
Gsta4
Plscr1
Rwdd2a
Ngp
Uba7
Oas3
Oas2
Folr2
Chrm1
Rims3
Lss
Lpcat2
Rac2
Rtp4
Recql4
Lgals3bp
Ypel4
Vav1
Plcg2
Gulo
Ifit1
Dio1
Acot11
Isg15
Grin3b
Fam65b
Slc2a6
Hist1h1c
P2ry13
C1qa
Fzd8
C1qb
Mycn
Syn1
Tap1
Klf10
BC022687
Themis2
D630003M21Rik
Sirpa
Ddx60
Fam198a
Arl5c
Txnip
Egr1
Tmc3
Cyp3a16
Ptk6
Elovl3
9130409I23Rik
Ephx1
Rap1gap2
Gngt2
Arpin
Orm1
6430573F11Rik
Trim14
Gsap
Pik3cd
Saa4
Ccbl2
Trim7
Xaf1
Abcg5
Pogk
Dnph1
Limd2
Creg1
Chil3
Npnt
B4galnt3
Lrrc18
Myrip
Oasl1
Tdrkh
Bag2
Ikbke
Dlgap3
Jph1
Trim72
Nrep
Chd3os
Col6a6
B430306N03Rik
Clec4a3
Ncmap
Slc35g1
Il1f9
2900011O08Rik
Nhlrc1
Pcsk9
Snhg11
A730020M07Rik
Kcnj10
Serpinb1a
AF251705
BC106179
Insig1
Pigz
Basp1
6330416G13Rik
Fam26f
Pilra
Mpeg1
Als2cr12
Samd9l
Angptl8
Selplg
Sacs
Mterf2
Syt12
Fut4
4933408B17Rik
Rarres1
Tifab
Lrrc25
Amz1
Scd4
Lgals3
Fbxl22
Ism2
Fhad1
Cd14
Treml4
Pld4
Cd177
Fpr2
Kcnt2
Oas1a
Clec12a
Gpr141
Ptprt
9030619P08Rik
Raet1e
Notumos
Cyp3a44
Sytl5
9130230L23Rik
Afp
Rab39
Arntl
B4galnt4
Ces2a
Cyp3a11
Fam105a
S100a9
Pgm3
Adap1
Them6
Capg
St8sia3
Apol9a
Trim30d
Gapdh
Gsta2
Idi1
Fcgr4
Fdps
Zbtb40
Blnk
Cyp3a59
Orm2
Cfd
Zfp13
Ifit3b
Mppe1
Tlr12
Lilrb4a
Actg1
Cd300lb
Aox1
Hsd3b2
Chil1
Rdh11
Pilrb2
Zbtb16
Oas1g
4921513D11Rik
Slc22a7
Cyp2d40
Adgrv1
Lyz2
Mmp27
Ccnd1
Prok1
Treml2
Akr1c19
Gm4952
Csf2rb2
Tmem28
Slfn2
Mansc4
1810058I24Rik
H2-Bl
Lst1
Pydc4
Il4i1
Gm6166
Gm15441
Zfp872
Cyp2c68
Ifit3
Ly6a
Gm4070
Slfn1
Evi2a
Ces1b
Ifi27l2a
Clec7a
Ms4a6c
Mroh2a
Cml5
Gm11798
Gm12247
Gm9025
Gm13502
Gm14097
Gm11335
Gm11963
B430219N15Rik
Gm11772
Ttc39aos1
Gm15318
Gm11832
Marcksl1-ps4
Chn1os3
Plxna4os1
1700080G11Rik
E130102H24Rik
2810408I11Rik
Gm13203
Gm12503
Gm11752
Gm11266
2900089D17Rik
1200007C13Rik
Slc5a3
Gm765
Cyp21a2-ps
Gm5873
Eif4e3
Hmgcs1
Mup17
Psmb9
E230013L22Rik
9530082P21Rik
1110002J07Rik
Tnfsf12
9030616G12Rik
Tcf24
1700030C10Rik
Tubb4b-ps2
2310034O05Rik
6030407O03Rik
Gm19744
Gm28818
Gm28347
Gm10851
Gm38345
Gm37784
Gm37795
Golt1a
Gm42937
Gm31121
Gm42614
Gm34333
Gm43672
Cyp3a63-ps
Gm43072
Gm42879
Gm43598
Gm43597
Gm44244
RP24-174G2.1
RP23-325D10.4
RP23-198F11.3
RP23-465D7.3
Cc2d2b
RP23-16L19.4
