Slfn4
Itgb2
Mx1
Oas1c
Spi1
Ly9
Matk
Rasa4
Prg4
Tmem86a
Mlkl
Cd48
Ttbk1
Cd5l
Fcgr1
Mpped2
Dhx58
Cyth4
Slc13a3
Slc25a35
Ccl6
Dnah1
Rps6kl1
Cyb561
Esr1
Elane
Slc1a4
Dock2
Wif1
Irak3
Pdlim4
Srebf1
Efr3b
Slc6a4
Adam11
Serpina3n
Asb2
Evl
Exoc3l4
Cxcl14
Cd180
4930452B06Rik
Tsc22d1
Dok2
Gfra2
Irg1
Fam83f
Parvg
Fabp2
Cd4
Slc37a1
Myo1f
Psmb8
Aif1
Fads2
Pde6c
Aldh18a1
Dntt
Agap2
Irf7
Nptx1
Marco
Pkp1
Apcs
Lcn2
Traf1
Zbp1
Ifi44
Gbp3
Col15a1
Orm3
Cd72
Extl1
Csf3r
Fgr
Gabrd
Cgref1
Sult1e1
Plac8
Slc13a4
Usp18
Clec4e
Clec4a2
Bcl2l14
Dkk4
Smpd3
Rwdd2a
Ngp
Oas3
Folr2
Chrm1
Rac2
Ypel4
Ifit1
Dio1
Acot11
Isg15
Grin3b
Fam65b
Hist1h1c
Scd1
Mycn
Syn1
BC022687
D630003M21Rik
Ddx60
Arl5c
Tmc3
Ptk6
Orm1
Saa4
Xaf1
Abcg5
Chil3
B4galnt3
Lrrc18
Oasl1
Trim72
Nrep
Col6a6
B430306N03Rik
Clec4a3
Ncmap
Nhlrc1
Pigz
Basp1
6330416G13Rik
Pilra
Mpeg1
Als2cr12
Syt12
Rarres1
Apol10b
Scd4
Ism2
Oas1a
Clec12a
9030619P08Rik
Notumos
Afp
S100a9
Pgm3
Adap1
Capg
Apol9a
Blnk
Orm2
Cfd
Tlr12
Lilrb4a
Cd300lb
Chil1
Slc22a7
Cyp2d40
Adgrv1
Mmp27
Ccnd1
Prok1
Tmem28
H2-Bl
Lst1
Ifit3
Ly6a
Mup18
Ifi47
Ifi27l2a
Clec7a
Cml5
Gm11798
B430219N15Rik
Ttc39aos1
Gm15318
Chn1os3
1700080G11Rik
2810408I11Rik
Gm13203
Gm12503
Gm11752
1200007C13Rik
Gm765
Cyp21a2-ps
Eif4e3
Mup17
Psmb9
E230013L22Rik
1110002J07Rik
Tnfsf12
Gm19744
Gm28818
Gm28347
Gm10851
Gm31121
Gm43672
Gm42879
RP24-174G2.1
Cc2d2b
RP23-16L19.4
