H19
Klf6
Pparg
Il12rb1
C1ql4
Timp1
Tubb6
Col1a1
Tspan33
Ltbp2
Epdr1
Plin4
Cd36
Bcam
Dlgap1
Cyp17a1
Ctse
Nid1
Fbln1
Itih3
Sulf2
Mogat1
Bicc1
Kif1a
Ptgds
Cd34
Scube1
Slpi
Wfdc2
Myh11
Lama2
2010107G23Rik
Unc5b
Avpr1a
Hormad2
Aebp1
Acaca
Krt19
Acot2
Tgfb3
Cyp46a1
Hhipl1
Slc17a4
Aspn
Lrrc14b
Elovl7
Ldb3
Rnase4
Anxa8
Diaph3
Pdlim2
C9
C6
Sema5a
Sybu
Tbc1d31
Col14a1
Ccdc80
Boc
Fstl1
Pdia5
Robo1
Krt7
Cdkn1a
Slc10a2
Cxcl13
Pim1
Slc3a1
Grm8
C2
Apom
Lama3
Ttc39c
Cidea
Lox
Cyp2c39
Fasn
Scd2
Itgb8
Cd63
Gm7628
Gria4
Col5a2
Col3a1
Obsl1
Acmsd
Nfasc
Mgst3
Ak1
Nr4a2
Il1rn
Frzb
Fbn1
Jag1
Fermt1
Cpxm1
Sdcbp2
Src
Wisp2
Anxa5
Dclk1
Hao2
S100a11
Lrrc39
Ptgfr
Rragd
Nr4a3
Tnc
Svep1
Enho
Mfsd2a
Ephb2
Prom1
Pcdh7
Slc30a3
Agpat9
Ereg
Aacs
C8b
Col1a2
Limk1
Eln
Asns
Irf5
Chchd6
Emp1
Mgp
Far2
Scnn1a
Synm
Xylt1
Nupr1
Aqp8
Acsm2
Ccdc120
Porcn
Serpina7
Gabra3
Morc4
Adrb3
Col4a1
Gpm6a
Plat
F11
Nudt7
Cx3cl1
Bmper
Tagln
Fam81a
Anxa2
Nnmt
Cyp1a2
Tmem266
Cyp1a1
Elovl5
Plscr4
Me1
Cspg5
Thsd7a
Abtb2
Fbxo21
Itgbl1
Ucp3
Clec1a
Fgb
Tspan8
Loxl2
Foxj1
Eda2r
Ly6d
Dbn1
Pygo1
Parm1
C8a
Ccl2
Haus8
Thrsp
Acta2
Cd276
Dnajc12
Arhgap10
Pacrg
Serpine1
Tnfrsf23
Limch1
Dzip1l
Cpe
Dusp8
A4gnt
Hsd3b5
Rbm24
Notch3
Susd4
Fsd2
Lpar1
Adgrg6
Tgfb2
Lgi2
Prss23
Cyp7b1
Ccbl1
Cercam
Slc39a5
Bmf
Thbs1
5330417C22Rik
Cfap69
Gstm2
Abcb1a
Cyp2b9
Elovl6
Adgrf1
Mup4
Fmod
Mpped1
Tmem45b
Enc1
Gck
Fam222a
2010003K11Rik
Slc35f2
Mfap4
Clspn
Wdr63
E130012A19Rik
Zbtb7c
Defb1
Napepld
Cirbp
Zfp423
Slc16a5
Mtmr11
Pcdhb17
B430212C06Rik
Hnf4aos
Nipa1
Cd24a
Flrt2
Adamts12
Fbxo40
Sstr2
Col6a3
Msx1
C5ar1
Armcx4
Sarm1
Synpo2
Tnfsf15
Hamp
Mmp13
Fam83a
Tceal8
Sox12
Mest
Cx3cr1
Dlg2
Jun
Ube2ql1
Socs3
Nebl
Kcnn4
Cadm4
Ntrk2
Kbtbd11
Med12l
Prelid2
Sema3b
Serpina9
Cxcl2
Gpc6
Tubb2a
Col25a1
Actg2
Gm10069
Acnat2
Ces4a
Gstp1
Acyp2
Maml3
Dnaic1
Akap6
Fabp4
Nrg1
Serpina11
Arhgap22
Slc24a3
Fbln2
Terc
Serpina1a
6030419C18Rik
Slc22a27
Pi15
Myl9
Mas1
Lgals1
Flnc
Sort1
Selenbp2
Serpinh1
Rgma
Tmem139
Snx29
Ang
Serpina1e
Zfp449
Pnldc1
Mup14
Mup11
Osgin1
Gsta1
G430095P16Rik
Cyp2a4
Ehd2
BC089597
Foxs1
Slc4a11
Slc22a29
4930594M22Rik
Ighg2b
Ighg1
Mup1
Mup6
Slc8a3
H2-Q1
Mup-ps22
Gm13998
Gm14680
Gm11843
Gm11967
Gm830
Mir22hg
Gm11695
Gm15638
Gm13074
Gm15998
B430119L08Rik
Gm16548
Gm11723
Tbx3os1
Gm16567
Gm6485
Gm17077
BC035947
Gm8893
Gm6665
Cyp2a22
Gm379
Gm21885
Smim22
Snhg18
Gm3839
4632428C04Rik
Gm26908
Gm26608
Gm4673
Gm26578
Gm26967
Obox4-ps3
Mrgprb11-ps
Kantr
Gm38381
Gm30097
Gm3934
Gm37928
Gm43314
RP23-181P23.1
RP23-306P12.3
RP23-366O14.2
RP23-245P16.2
RP23-350G1.5
RP24-64C6.3
