Liver_lipid,P value,Mean of Control CRISPR,Mean of Osbpl3 CRISPR,Difference,SE of difference,t ratio,df,Gene,Liver_lipid.y,bicor,adj_pval,abs_bicor,Max_abundance,Lipid_class,significant_corr,fold_change
TG 54:3-FA18:0,0.008663,0.4537,0.2799,0.1738,0.05814,2.99,16,Osbpl3,TG.54.3.FA18.0,0.859705017699402,1.16912114650677e-13,0.859705017699402,0.883061429,TG,yes,0.616927485122328
TG 55:1-FA16:0,0.008714,0.06954,0.0461,0.02344,0.007846,2.987,16,Osbpl3,TG.55.1.FA16.0,-0.0301646285737234,0.897444506719095,0.0301646285737234,0.220193617,TG,no,0.662927811331608
TG 51:3-FA15:0,0.009108,0.2072,0.1481,0.05905,0.01991,2.966,16,Osbpl3,TG.51.3.FA15.0,0.760996856026822,1.78371129375694e-09,0.760996856026822,0.241011483,TG,yes,0.71476833976834
TG 52:0-FA16:0,0.009134,0.1303,0.06991,0.06042,0.02038,2.964,16,Osbpl3,TG.52.0.FA16.0,0.838475839283825,1.33657592089971e-12,0.838475839283825,0.732444854,TG,yes,0.536531082118189
TG 49:3-FA16:0,0.009181,0.02548,0.01603,0.009449,0.00319,2.962,16,Osbpl3,TG.49.3.FA16.0,0.794498267916765,1.09872393230999e-10,0.794498267916765,0.029098382,TG,yes,0.629120879120879
TG 54:3-FA20:3,0.009212,0.01375,0.009322,0.004433,0.001498,2.96,16,Osbpl3,TG.54.3.FA20.3,0.887981384668862,3.2121114248341e-15,0.887981384668862,0.191673087,TG,yes,0.677963636363636
TG 50:1-FA20:1,0.009274,0.04238,0.02388,0.01849,0.006255,2.957,16,Osbpl3,TG.50.1.FA20.1,0.847161118482973,8.70269610496515e-13,0.847161118482973,0.058970497,TG,yes,0.563473336479471
TG 56:8-FA16:0,0.009347,0.06792,0.04506,0.02286,0.007739,2.953,16,Osbpl3,TG.56.8.FA16.0,-0.00658374914112797,1,0.00658374914112797,0.247399486,TG,no,0.663427561837456
TG 56:5-FA20:1,0.00946,0.03417,0.02327,0.0109,0.003698,2.947,16,Osbpl3,TG.56.5.FA20.1,0.391477468959231,0.0102986367369569,0.391477468959231,0.054933812,TG,yes,0.681006731050629
TG 56:3-FA20:2,0.009501,0.02082,0.01278,0.008036,0.002728,2.945,16,Osbpl3,TG.56.3.FA20.2,0.866367245198647,5.25982446981443e-14,0.866367245198647,0.125511353,TG,yes,0.613832853025936
TG 54:3-FA18:2,0.009657,0.6117,0.3744,0.2373,0.08078,2.938,16,Osbpl3,TG.54.3.FA18.2,0.852458359591978,2.75464673379884e-13,0.852458359591978,1.391288513,TG,yes,0.612064737616479
TG 49:2-FA18:2,0.009741,0.07104,0.04606,0.02498,0.008516,2.933,16,Osbpl3,TG.49.2.FA18.2,0.800867300272951,6.12888579869542e-11,0.800867300272951,0.099207156,TG,yes,0.648367117117117
TG 50:3-FA18:0,0.009748,0.01205,0.007377,0.004673,0.001593,2.933,16,Osbpl3,TG.50.3.FA18.0,0.855370723185681,1.95650474200934e-13,0.855370723185681,0.01921081,TG,yes,0.612199170124481
TG 51:3-FA18:3,0.009842,0.003881,0.00227,0.001611,0.0005502,2.928,16,Osbpl3,TG.51.3.FA18.3,0.77345339763935,6.64304560439773e-10,0.77345339763935,0.008872548,TG,yes,0.584900798763205
TG 52:3-FA20:0,0.009878,0.02672,0.01667,0.01005,0.003433,2.927,16,Osbpl3,TG.52.3.FA20.0,0.840785287868152,1.03623667770094e-12,0.840785287868152,0.038765624,TG,yes,0.623877245508982
TG 55:5-FA18:2,0.009939,0.01447,0.01018,0.004294,0.001469,2.924,16,Osbpl3,TG.55.5.FA18.2,0.124102131805744,0.47969534180379,0.124102131805744,0.041814956,TG,no,0.703524533517623
TG 50:1-FA14:0,0.009949,0.1174,0.06522,0.05222,0.01786,2.923,16,Osbpl3,TG.50.1.FA14.0,0.856252791715376,1.75502275869549e-13,0.856252791715376,0.601579507,TG,yes,0.555536626916525
TG 53:1-FA18:1,0.009985,0.06871,0.03728,0.03143,0.01076,2.921,16,Osbpl3,TG.53.1.FA18.1,0.855402234101221,1.95115439423954e-13,0.855402234101221,0.413779218,TG,yes,0.542570222675011
TG 56:3-FA18:2,0.010063,0.0538,0.03472,0.01907,0.006537,2.918,16,Osbpl3,TG.56.3.FA18.2,0.837647938309462,1.46365428850449e-12,0.837647938309462,0.109268164,TG,yes,0.645353159851301
PC 18:0_22:4,0.010183,0.01364,0.009594,0.004042,0.001346,3.003,13,Osbpl3,PC.18.0_22.4,0.211956644165494,0.365408304955434,0.211956644165494,0.01302337,PC,no,0.703372434017595
TG 52:2-FA20:0,0.010209,0.0305,0.0176,0.0129,0.004431,2.911,16,Osbpl3,TG.52.2.FA20.0,0.816644043053355,1.34138734718745e-11,0.816644043053355,0.064526586,TG,yes,0.577049180327869
TG 53:4-FA18:2,0.01037,0.186,0.1232,0.06286,0.02165,2.903,16,Osbpl3,TG.53.4.FA18.2,0.756786555132335,2.46563135210015e-09,0.756786555132335,0.210623938,TG,yes,0.662365591397849
TG 55:2-FA18:1,0.010374,0.2149,0.1243,0.09065,0.03122,2.903,16,Osbpl3,TG.55.2.FA18.1,0.842189314524243,8.85951939559772e-13,0.842189314524243,0.433680496,TG,yes,0.578408562121917
TG 52:0-FA20:0,0.010567,0.02419,0.01391,0.01028,0.003552,2.894,16,Osbpl3,TG.52.0.FA20.0,0.688821447732844,2.18460437221838e-07,0.688821447732844,0.073856676,TG,yes,0.575031004547334
TG 52:3-FA18:0,0.010787,0.1487,0.08871,0.05995,0.02078,2.884,16,Osbpl3,TG.52.3.FA18.0,0.852470677501269,2.75100979451163e-13,0.852470677501269,0.298502806,TG,yes,0.596570275722932
TG 49:1-FA18:1,0.010813,0.4482,0.2682,0.1799,0.06241,2.883,16,Osbpl3,TG.49.1.FA18.1,0.858743447194962,1.31232603706878e-13,0.858743447194962,0.648006438,TG,yes,0.598393574297189
TG 55:4-FA18:2,0.010915,0.05212,0.03377,0.01835,0.006376,2.879,16,Osbpl3,TG.55.4.FA18.2,0.803972774977011,4.57687552838202e-11,0.803972774977011,0.083716936,TG,yes,0.647927858787414
TG 54:2-FA20:0,0.010957,0.146,0.08957,0.05638,0.0196,2.877,16,Osbpl3,TG.54.2.FA20.0,0.48926111623669,0.000865620063835378,0.48926111623669,0.353445748,TG,yes,0.613493150684931
TG 50:2-FA18:2,0.011024,1.465,0.8562,0.6089,0.2119,2.874,16,Osbpl3,TG.50.2.FA18.2,0.850157631302316,3.58134647330575e-13,0.850157631302316,2.386919289,TG,yes,0.584436860068259
TG 53:1-FA18:0,0.011044,0.03603,0.02141,0.01462,0.005088,2.873,16,Osbpl3,TG.53.1.FA18.0,0.850850542530141,3.31257310666061e-13,0.850850542530141,0.127351984,TG,yes,0.594227033028032
TG 51:4-FA16:1,0.011232,0.07124,0.04551,0.02573,0.008982,2.865,16,Osbpl3,TG.51.4.FA16.1,0.804342131361255,4.421541198353e-11,0.804342131361255,0.085950777,TG,yes,0.638826501965188
TG 50:3-FA14:0,0.011334,0.6968,0.4651,0.2317,0.081,2.86,16,Osbpl3,TG.50.3.FA14.0,0.844731356194008,6.68071000785065e-13,0.844731356194008,0.798372888,TG,yes,0.66747990815155
TG 54:1-FA16:0,0.011497,0.2614,0.1495,0.1119,0.03922,2.854,16,Osbpl3,TG.54.1.FA16.0,0.847366588357472,4.93247633379517e-13,0.847366588357472,0.959655131,TG,yes,0.571920428462127
TG 53:3-FA16:0,0.011532,0.1493,0.09234,0.05696,0.01997,2.852,16,Osbpl3,TG.53.3.FA16.0,0.809777202231722,2.6302860480328e-11,0.809777202231722,0.237432349,TG,yes,0.618486269256531
TG 52:4-FA16:0,0.011724,1.47,0.9898,0.4801,0.1688,2.844,16,Osbpl3,TG.52.4.FA16.0,0.190552360693901,0.25369274679518,0.190552360693901,3.395193086,TG,no,0.673333333333333
TG 52:3-FA16:0,0.011751,12.92,8.035,4.888,1.719,2.843,16,Osbpl3,TG.52.3.FA16.0,0.842783010583588,8.30529937800863e-13,0.842783010583588,17.32498291,TG,yes,0.621904024767802
TG 53:4-FA16:0,0.011904,0.03752,0.02515,0.01237,0.004361,2.837,16,Osbpl3,TG.53.4.FA16.0,0.315629765527911,0.0446182914584639,0.315629765527911,0.063596091,TG,yes,0.670309168443497
TG 49:2-FA18:1,0.011936,0.473,0.2963,0.1767,0.06231,2.835,16,Osbpl3,TG.49.2.FA18.1,0.842729649038075,8.34563537029471e-13,0.842729649038075,0.537998265,TG,yes,0.626427061310782
TG 51:4-FA18:2,0.011984,0.08217,0.05779,0.02438,0.008604,2.833,16,Osbpl3,TG.51.4.FA18.2,0.572038215416896,5.34384311433826e-05,0.572038215416896,0.109554738,TG,yes,0.703298040647438
TG 49:2-FA15:0,0.011993,0.4218,0.2682,0.1536,0.05421,2.833,16,Osbpl3,TG.49.2.FA15.0,0.829696121347147,3.44698199820106e-12,0.829696121347147,0.43754771,TG,yes,0.635846372688478
TG 54:2-FA18:2,0.012026,0.04477,0.02691,0.01786,0.006307,2.832,16,Osbpl3,TG.54.2.FA18.2,0.865062279986608,6.16027931556846e-14,0.865062279986608,0.133397208,TG,yes,0.601072146526692
TG 50:3-FA18:2,0.012096,3.121,1.941,1.18,0.4171,2.829,16,Osbpl3,TG.50.3.FA18.2,0.852302378204546,2.80484194613074e-13,0.852302378204546,3.794646735,TG,yes,0.621916052547261
TG 50:1-FA18:0,0.01214,0.3994,0.2121,0.1873,0.06626,2.827,16,Osbpl3,TG.50.1.FA18.0,0.843304440604654,7.85184376468344e-13,0.843304440604654,1.546422443,TG,yes,0.531046569854782
TG 49:0-FA16:0,0.012268,0.1005,0.05618,0.04433,0.01571,2.822,16,Osbpl3,TG.49.0.FA16.0,0.842724717409004,8.34683823988528e-13,0.842724717409004,0.272105358,TG,yes,0.559004975124378
TG 54:5-FA20:2,0.01229,0.03541,0.02313,0.01228,0.004354,2.821,16,Osbpl3,TG.54.5.FA20.2,0.847746014018355,4.72982795821864e-13,0.847746014018355,0.055656903,TG,yes,0.65320530923468
TG 52:3-FA20:1,0.012309,0.1593,0.09159,0.06767,0.02399,2.821,16,Osbpl3,TG.52.3.FA20.1,0.836717119664949,1.61983707185101e-12,0.836717119664949,0.228770466,TG,yes,0.574952919020716
TG 53:1-FA17:0,0.012362,0.02783,0.01554,0.01229,0.004361,2.818,16,Osbpl3,TG.53.1.FA17.0,0.851401076677399,3.11452833628288e-13,0.851401076677399,0.175157638,TG,yes,0.558390226374416
TG 47:1-FA16:1,0.012464,0.09969,0.05722,0.04247,0.01509,2.814,16,Osbpl3,TG.47.1.FA16.1,0.83271933423087,2.48982150993253e-12,0.83271933423087,0.122719803,TG,yes,0.573979335941418
