"Lipid_liver","Lipid_plasma","Spearman_corr","p_val"
"CE","CE",0.715494366382021,2.76610974679382e-10
"Cer","Cer",0.70683514979215,5.62180519986922e-10
"DG","DG",-0.0135086709596162,0.919833089065526
"FA","FA",0.235100713777916,0.0756522951233077
"HexCER","HexCER",0.64685887074246,4.11304030237125e-08
"LPC","LPC",0.635328603441318,8.44583945407373e-08
"LPE","LPE",0.0979973868466326,0.464264062122122
"LacCER","LacCER",0.400281490216728,0.0721707718147362
"PC","PC",0.491677293587611,8.87203168313052e-05
"SM","SM",0.077396670552556,0.563620971351144
"TG","TG",-0.218377823779728,0.099587760010299
