Lipid_formatted
CE(14:0)
CE(15:0)
CE(16:0)
CE(16:1)
CE(17:0)
CE(18:0)
CE(18:1)
CE(18:2)
CE(20:1)
CE(20:4)
CE(22:6)
DG(14:0/18:1)
DG(16:0/16:0)
DG(16:0/16:1)
DG(16:0/18:0)
DG(16:0/18:1)
DG(16:1/16:1)
DG(16:1/18:1)
DG(18:0/18:1)
DG(18:1/18:1)
DG(18:1/20:1)
PC(16:0/16:0)
PC(16:0/18:0)
PC(16:0/18:2)
PC(16:0/18:3)
PC(16:1/18:2)
PC(18:0/18:2)
PC(18:1/18:1)
PC(18:2/18:2)
PE(16:0/18:2)
PE(16:0/22:5)
PE(16:0/22:6)
PE(18:0/18:2)
PE(18:0/20:4)
PE(18:1/18:2)
SM(d18:1/20:0)
SM(d18:1/22:0)
SM(d18:1/24:0)
TG(44:1)
TG(46:0)
TG(46:1)
TG(46:2)
TG(47:0)
TG(47:1)
TG(47:2)
TG(48:0)
TG(48:1)
TG(48:2)
TG(48:3)
TG(49:0)
TG(49:1)
TG(49:2)
TG(49:3)
TG(50:0)
TG(50:1)
TG(50:2)
TG(50:3)
TG(50:4)
TG(51:0)
TG(51:1)
TG(51:2)
TG(51:3)
TG(52:0)
TG(52:1)
TG(52:2)
TG(52:3)
TG(52:4)
TG(52:5)
TG(52:7)
TG(53:1)
TG(53:2)
TG(53:3)
TG(53:4)
TG(54:1)
TG(54:2)
TG(54:3)
TG(54:4)
TG(54:5)
TG(54:6)
TG(55:2)
TG(55:3)
TG(55:4)
TG(56:2)
TG(56:3)
TG(56:4)
TG(56:5)
TG(56:6)
TG(56:8)
TG(58:3)
TG(58:5)
TG(58:6)
TG(58:7)
