Dataset,ID,Diet,Duration,3a7b,3b7a12a,a-MCA,b-MCA,CA,DCA,HDCA,LCA,Tauro 3a12b,Tauro 3a6a,T-3a7k,T-a-MCA,T-b-MCA,T-o-MCA,TCDCA,TCA,TDCA,TLCA
Intestine,38,WD,4,0.109410755,0.171624714,70.15160183,378.5612128,235.9839817,0.643592677,0.45909611,0.592105263,6.34367849,31.87714531,14.55806636,2259.868421,7216.39016,3568.935927,5807.78032,6508.009153,424.2348398,4.513729977
Intestine,39,WD,4,2.239220151,0.525117404,153.8636687,2596.854988,1362.572933,10.36146293,0.636117831,1.314928134,4.309805038,15.14728903,10.86096485,1337.12822,14178.59684,4803.330013,2763.270243,7329.01665,235.6624449,2.448413263
Intestine,40,WD,4,,0.113706794,42.56495828,284.5673421,180.1287247,0.266030989,0.360429082,1.139213349,8.32205006,19.14350417,19.42455304,2494.684148,10887.96186,1838.617402,6225.983313,9147.175209,608.6746126,4.65125149
Intestine,41,WD,4,1.748942172,0.390220969,384.532205,3197.83733,1433.850494,26.5632346,0.916784203,0.935590033,5.282087447,17.84908322,16.3422661,2040.432534,9476.25764,3100.611189,4510.578279,4810.061119,431.4057358,4.1325811
Intestine,42,WD,4,,0.691519636,22.62379055,150.1280592,77.34775185,,0.354297097,0.198491747,10.24473534,19.67202618,13.83892999,2460.017075,9729.937393,3826.408651,4936.25498,7003.130336,341.7472965,3.355150825
Intestine,43,WD,4,,0.567954778,308.5375956,4789.24029,1037.230154,36.16929,0.78066371,0.532868769,5.773841431,12.30861069,13.30198333,1654.743921,12388.43136,2862.579796,2673.773208,4671.263584,414.2122704,2.212611471
Intestine,44,WD,4,0.817721993,0.606968902,397.1852754,5301.283252,1911.193331,47.57961783,0.977894342,2.630198576,11.42492507,13.77692956,12.000281,1854.627201,9838.797302,1899.306857,3298.496628,4624.344324,376.1521169,4.038029224
Intestine,45,WD,4,0.609430605,0.304715302,207.8514235,3477.135231,1365.524911,21.2411032,0.573843416,1.040925267,3.778914591,10.9519573,11.92615658,1855.871886,13296.26335,3350.088968,3034.252669,5888.790036,259.7642349,2.259786477
Intestine,47,WD,4,2.512146753,0.722855726,291.8418443,5217.055032,1144.075359,20.43182945,0.763014378,1.128904313,3.712444224,10.54610808,13.05156173,1902.627665,14826.57412,4238.968765,3197.967278,5601.685672,259.1794745,2.112791274
Intestine,48,WD,4,,0.206353709,48.16338108,505.4176713,303.8292441,1.421075025,0.476528152,0.348886683,2.554956744,10.13047795,12.21954333,2006.523897,12202.94994,4419.373139,3694.369593,7476.386328,266.3664728,1.431711814
Intestine,25,WD,6,1.47620924,0.746970742,669.2813516,3529.868978,2177.608117,44.37937149,1.329918235,1.715594523,5.521377204,17.15816176,15.02807605,2161.117131,6075.509802,3621.810659,6055.561028,5752.782977,365.7275145,4.978327258
Intestine,26,WD,6,0.102924717,0.354761789,94.49364933,550.9757166,318.760037,2.80305611,0.451116843,0.383230328,8.301863838,24.16321962,18.90748942,2340.551852,8414.862037,3663.681931,6442.868266,7280.938245,501.0243807,4.911917855
Intestine,27,WD,6,,0.23470324,130.303762,1143.48288,1021.393732,17.21591732,0.773651422,1.006181485,7.062828995,21.41232433,15.67730719,1784.179263,6835.949196,4610.614768,4741.874728,5946.25006,287.7287874,2.927270971
Intestine,28,WD,6,0.619114992,0.127335708,63.97521589,510.221008,466.707323,3.705908182,0.368834464,0.45445675,9.354783627,20.75791579,16.47021515,2452.310094,9194.077182,2967.361077,7186.783432,10169.29307,503.3273162,4.786066254
Intestine,29,WD,6,0.202065559,0.451279749,429.0974405,2446.070947,1846.295465,36.87022901,1.194431971,0.767849124,14.44993264,33.82577458,20.71396498,3785.361473,9562.640323,5338.57207,9136.281994,9483.610238,592.0071846,5.305343511
Intestine,30,WD,6,0.57342096,0.516981889,294.9731601,2481.151859,1855.310289,47.52169769,1.331962073,2.460743491,4.564792053,17.69026238,10.95821,1684.593388,5456.980886,2965.083028,3846.209803,5629.910199,282.6017157,2.96192244
Intestine,31,WD,6,2.757724719,0.511938202,302.9705056,1865.603933,1401.109551,23.3511236,0.905898876,0.808988764,5.29002809,16.30196629,13.04073034,1684.97191,5105.05618,2338.483146,4661.376404,5097.893258,274.0870787,3.903792135
Intestine,32,WD,6,3.952821869,0.134479718,46.9356261,201.9400353,191.7107584,,0.348324515,0.846560847,13.21428571,20.16534392,18.40388007,2893.29806,7272.045855,3527.777778,8618.606702,10200.17637,316.8871252,3.269400353
Intestine,33,WD,6,1.938588451,0.110714458,275.3967871,1937.199093,938.8151865,15.33937961,0.642578031,1.693279946,14.32992426,16.34015148,18.32649911,2914.178204,10171.83656,2610.256163,5279.342949,6919.436538,296.6496213,3.306237638
Intestine,34,WD,6,,0.160729593,122.1330603,832.3221259,858.0817221,7.607867416,0.488617964,0.244308982,10.93175541,13.91703972,10.80960091,1510.429565,6212.305934,2419.087532,3370.606724,7453.995619,316.4658539,2.213782265
Intestine,35,WD,6,0.600890208,0.086795252,57.39614243,351.231454,330.9792285,,0.422848665,0.776706231,9.040059347,18.09792285,10.56676558,1650.445104,6715.727003,3198.51632,2802.818991,7528.931751,224.5103858,1.301928783
