ID,Diet,Time,ID.Diet.Time,BileVol,CA,aMCA,bMCA,DCA,HDCA,a3b7a12a,TCA,GCA,TDCA,TCDCA,GCDCA,TaMCA,TbMCA,ToMCA,TLCA,TUDCA,T3a6a,T3a12b,T3a7k
29,WD,6,29.WD.6,2.6,544.414,84.6222,225.186,2.0384,0.6682,2.0176,62738,130.4134,4316.78,8583.38,4.8776,22593.48,46537.4,34083.4,34.0002,1361.178,1275.586,264.03,148.4288
30,WD,6,30.WD.6,6.5,2052.44,190.632,1606.54,4.0105,7.137,9.4445,392535,518.1605,16627.65,26989.3,9.36,76921,197886,134420,84.474,4899.635,6029.66,1234.025,748.215
31,WD,6,31.WD.6,8.3,3809.783,377.7994,2074.585,4.9219,8.8478,14.9234,591748.5,779.7601,22370.16,48988.26,23.1985,126508.6,295687.5,158355.7,135.622,7793.7,8194.839,1646.056,1438.722
32,WD,6,32.WD.6,14.1,4717.719,626.9424,2300.415,5.6823,8.178,20.163,953427.9,1770.678,28687.86,88619.91,52.593,238924.5,475141.8,295803.9,208.2147,11683.683,11810.019,3131.046,2191.422
33,WD,6,33.WD.6,9.1,817.8625,360.7695,3020.017,4.3134,4.4135,1.7927,742969.5,1272.271,28305.55,58614.01,27.9097,236836.6,632986.9,184356.9,159.8324,9716.98,8568.742,2097.277,2058.056
34,WD,6,34.WD.6,5.6,3421.712,243.8576,1411.536,4.5864,3.4832,12.4096,393842.4,824.768,16588.88,16525.6,11.9672,60709.6,200597.6,96667.2,50.3944,4318.048,4307.464,1107.176,493.276
35,WD,6,35.WD.6,9,2541.42,251.226,1548.81,6.192,3.528,10.476,471267,1115.73,16249.5,22138.2,17.307,95553,293310,182142,63.999,6108.66,6135.12,1289.25,1015.47
37,WD,4,37.WD.4,8.5,4060.705,555.9,3051.925,6.2645,11.764,16.541,608464,1135.43,37949.95,52566.55,31.9005,155320.5,468528.5,152668.5,240.261,11884.7,11564.25,2028.61,1456.05
38,WD,4,38.WD.4,13.8,11812.938,1433.544,6565.902,12.2958,19.4856,32.7474,1049296.8,2222.49,71421.9,97738.5,75.3342,284556,765706.8,442966.2,395.7978,28422.48,29594.1,3576.546,2927.256
39,WD,4,39.WD.4,6.8,3345.872,196.9824,3079.788,3.8964,5.2496,10.0844,362032,663.4828,11042.52,14709.76,8.602,39283.6,345970.4,141562.4,78.506,3211.164,3616.58,1374.484,516.12
