Dataset,ID,Diet,Duration,3b7a12a,a-MCA,b-MCA,CA,DCA,HDCA,Tauro 3a12b,Tauro 3a6a,T-3a7k,T-a-MCA,T-b-MCA,T-o-MCA,TCDCA,TCA,TDCA,TLCA
Bile,6,WD,8,0.00672,0.3089504,0.919296,2.505216,0.003776,0.003296,0.742592,1.347424,0.2122656,22.79168,70.7456,26.664,9.42176,159.6352,6.59488,0.0457184
Bile,7,WD,8,0.010584,0.333544,0.95248,2.40512,0.00612,0.002344,1.1,2.88904,0.523376,44.6376,126.056,51.124,22.644,277.944,11.3136,0.101096
Bile,8,WD,8,0.0072781,0.154614,0.765478,0.974185,0.0039931,0.0062123,0.6846597,1.847411,0.6056518,30.86878,114.2961,32.51128,19.29463,191.4133,10.41564,0.0823367
Bile,13,WD,8,0.0018944,0.1158528,1.562624,0.6357888,0.0035584,0.0010496,0.759936,3.114944,0.53152,49.77728,286.9632,80.0832,16.39296,169.7152,7.1168,0.056896
Bile,14,WD,8,0.00468,0.321456,4.16232,1.43328,0.006468,0.009048,1.6032,5.8074,1.31748,98.0172,489.336,86.9592,45.1272,501.6,24.5604,0.179988
Bile,15,WD,8,0.0064728,0.191226,1.011636,0.995193,0.0042195,0.0073341,1.714596,3.360114,0.6624441,56.71443,196.6896,56.88408,29.09454,351.1929,16.89801,0.1148574
Bile,16,WD,8,0.0069083,0.1777627,0.6226274,1.154957,0.0044304,0.005041,0.855834,3.396001,0.3606019,29.76675,111.1647,42.68165,9.88533,150.9886,10.47108,0.0988178
Bile,21,WD,8,0.050505,0.763485,1.9257,7.2495,0.01074,0.01788,2.4141,11.3247,1.485825,155.37,319.485,215.25,64.497,919.695,54.9705,0.414105
Bile,22,WD,8,0.018924,0.2075415,1.311732,3.233929,0.0079514,0.008383,1.438141,6.244256,0.7810798,99.8656,262.7863,138.3444,29.11142,782.4161,18.7829,0.0844359
Bile,23,WD,8,0.002922,0.028497,1.19124,0.90975,0.001686,0.000576,0.260052,0.278865,0.157068,9.7581,135.918,20.0232,4.8453,125.373,1.72614,0.015456
Bile,24,WD,8,0.033798,0.4754121,2.591442,6.367517,0.0149864,0.0138467,2.213245,8.365791,1.43969,164.0382,501.0488,226.6955,40.82222,1199.6718,25.95634,0.1270438
