"ID","Treatment","4306262","262104","181348","184451","176925","3957916","193680","258165","180362","1111580","1100972","3265889","262633","1111328","182061","187535","199307","353073","134762","210950","265912","207284","637934","262917","4421276","136604","4409730","4449518","258232","825063","730939","261590","167509","271230","175416","4455677","170926","176691","182033","743693","188973","1571092","4462541","291725","4407703","171532","258957","273967","174698","174126","163997","178480","4439469","4432234","194878","177068","259195","191445","182712","4390754","97263","320169","268720","333351","743911","186122","176990","195005","264155","258179","295188","258725","194665","180972","839215","2897332","178490","4474255","262801","170056","1051764","192204","177271","2656868","3465320","4334624","321809","198170","3919797","198194","663226","265940","129394","183545","263252","259511","335057","279431","177590","287507","2286580","180555","98048","199137","4440624","176957","275470","179703","230268","265793","191811","194504","1113282","272953","264225","164237","4407190","163153","175998","375106","259504","134065","196349","832848","839233","318503","359376","461524","308734","259870","825939","276236","261064","779847","174824","1107303","1857626","266946","276837","191583","661055","3172949","708190","260205","414089","191616","165046","4438116","299687","351094","242029","4484382","263272","267478","4410166","3750373","4436552","185743","4420206","173722","828708","665703","2120779","176154","175575","270199","264684","4435934","179838","851733","197765","295075","169428","162898","1684221","272201","258899","258522","174847","189476","307608","4383135","267042","832558","184966","4481359","273504","269886","264586","133843","344527","1108078","322839","188225","4372003","1105589","238487","172464","4410988","4342104","830014","631564","4393892","309361","261744","214835","261365","2883968","173892","271804","260018","172859","194478","197706","4376828","174285","268733","258438","328905","1105751","189279","312476","4318470","4432841","1107459","250270","4449236","261373","4356342","4364237","329502","260156","176298","203713","269532","321469","827592","273364","176836","263612","303479","4390755","4380294","175901","258641","174184","258421","173245","38278","607540","3694603","338640","184318","177574","181419","234054","262095","187807","177195","292591","176118","259006","1109864","167034","271866","190114","258980","2901239","179949","345804","234912","263731","183446","4448052","610842","186760","263138","262556","628218","185222","307170","2063400","188785","180405","214116","266411","258368","180535","4343981","4457872","259922","191098","732285","190273","179575","195189","4480555","4480557","229562","2901246","178959","174071","197126","267110","356164","192598","173192","228140","318370","214471","4343528","228785","259290","176139","4430498","199698","1844553","170950","175114","176486","176868","258969","4468234","317633","465433","275218","214919","267124","3868285","263933","1108378","228043","337727","314810","266091","190835","4307094","4307093","2978254","261132","199067","4476330","258550","260666","265011","162005","174667","185587","268620","133206","4428313","325541","273586","267717","258559","259556","177533","174770","174320","New.ReferenceOTU1265","New.ReferenceOTU1316","New.ReferenceOTU416","New.ReferenceOTU292","New.ReferenceOTU295","New.ReferenceOTU294","New.ReferenceOTU858","New.ReferenceOTU928","New.ReferenceOTU667","New.ReferenceOTU1273","New.ReferenceOTU1070","New.ReferenceOTU1412","New.ReferenceOTU116","New.ReferenceOTU1098","New.ReferenceOTU1012","New.ReferenceOTU845","New.ReferenceOTU841","New.ReferenceOTU1242","New.ReferenceOTU542","New.ReferenceOTU1254","New.ReferenceOTU1256","New.ReferenceOTU1259","New.ReferenceOTU1323","New.ReferenceOTU550","New.ReferenceOTU956","New.ReferenceOTU951","New.ReferenceOTU1406","New.ReferenceOTU1356","New.ReferenceOTU146","New.ReferenceOTU961","New.ReferenceOTU960","New.ReferenceOTU964","New.ReferenceOTU966","New.ReferenceOTU1231","New.ReferenceOTU1237","New.ReferenceOTU1691","New.ReferenceOTU151","New.ReferenceOTU408","New.ReferenceOTU977","New.ReferenceOTU974","New.ReferenceOTU972","New.ReferenceOTU978","New.ReferenceOTU979","New.ReferenceOTU882","New.ReferenceOTU18","New.ReferenceOTU19","New.ReferenceOTU12","New.ReferenceOTU13","New.ReferenceOTU10","New.ReferenceOTU11","New.ReferenceOTU16","New.ReferenceOTU14","New.ReferenceOTU15","New.ReferenceOTU407","New.ReferenceOTU360","New.ReferenceOTU167","New.ReferenceOTU988","New.ReferenceOTU987","New.ReferenceOTU986","New.ReferenceOTU217","New.ReferenceOTU8","New.ReferenceOTU9","New.ReferenceOTU0","New.ReferenceOTU1","New.ReferenceOTU2","New.ReferenceOTU3","New.ReferenceOTU4","New.ReferenceOTU5","New.ReferenceOTU6","New.ReferenceOTU7","New.ReferenceOTU1361","New.ReferenceOTU995","New.ReferenceOTU200","New.ReferenceOTU1778","New.ReferenceOTU1558","New.ReferenceOTU1001","New.ReferenceOTU1398","New.ReferenceOTU1396","New.ReferenceOTU1397","New.ReferenceOTU833","New.ReferenceOTU832","New.ReferenceOTU834","New.ReferenceOTU22","New.ReferenceOTU21","New.ReferenceOTU27","New.ReferenceOTU1388","New.ReferenceOTU535","New.ReferenceOTU533","New.ReferenceOTU530","New.ReferenceOTU1023","New.ReferenceOTU1024","New.ReferenceOTU447","New.ReferenceOTU45","New.ReferenceOTU1853","New.ReferenceOTU1034","New.ReferenceOTU1031","New.ReferenceOTU1032","New.ReferenceOTU333","New.ReferenceOTU1861","New.ReferenceOTU873","New.ReferenceOTU909","New.ReferenceOTU311","New.ReferenceOTU868","New.ReferenceOTU860","New.CleanUp.ReferenceOTU31","New.CleanUp.ReferenceOTU77","New.CleanUp.ReferenceOTU78","New.CleanUp.ReferenceOTU110","New.CleanUp.ReferenceOTU123","New.CleanUp.ReferenceOTU24","New.CleanUp.ReferenceOTU23","New.CleanUp.ReferenceOTU22","New.CleanUp.ReferenceOTU169","New.CleanUp.ReferenceOTU12","New.CleanUp.ReferenceOTU14","New.CleanUp.ReferenceOTU18","New.CleanUp.ReferenceOTU19","New.CleanUp.ReferenceOTU54","New.CleanUp.ReferenceOTU51","New.CleanUp.ReferenceOTU53","New.CleanUp.ReferenceOTU59","New.CleanUp.ReferenceOTU92","New.CleanUp.ReferenceOTU29","New.CleanUp.ReferenceOTU28","New.CleanUp.ReferenceOTU7","New.CleanUp.ReferenceOTU4","New.CleanUp.ReferenceOTU2","New.CleanUp.ReferenceOTU3","New.CleanUp.ReferenceOTU0","New.CleanUp.ReferenceOTU1","New.CleanUp.ReferenceOTU8","New.CleanUp.ReferenceOTU113","New.CleanUp.ReferenceOTU244","New.CleanUp.ReferenceOTU43","New.CleanUp.ReferenceOTU86","New.CleanUp.ReferenceOTU83","New.CleanUp.ReferenceOTU135","New.CleanUp.ReferenceOTU68"
22,"WD8",111587,2,4,12408,0,70,0,16,1,16,300,0,287,1,3,277,0,75,401,30,183,3113,0,3,227,0,123,2700,6,0,0,553,0,0,1,3,0,1,2,32,18,33,722,12,44,4,1,5,12,5,6,3,794,0,0,0,155,0,4,104,0,101,8,1,2,4,0,8271,0,1,45,240,2,9,1,514,1,29,1,2,5,2,398,186,25,27,54,1,211,280,14,3680,381,6,0,315,9,0,1,1,0,733,9,10,84,102,10,1,4,3174,505,0,1,13,1,1,0,43,0,90,1,41,4,5,0,12,51,120,1,29,1,8,1,1,3,34,2,0,1105,1,1,37,1,0,37,0,2,21,53,6,22,33,1684,42,43,0,51,10,2,117,0,0,2,2,13,0,17,32,12,52,1,2,48,0,10452,1,72,12,3,1,21,1,2,3,4,0,3,165,10,0,11,0,5,81,9,6,9,0,82,48,16,0,1,1,0,57,202,2,624,0,0,0,0,826,33,0,259,1,0,1,0,1,44,5,2,1,704,6,17,345,6,2,1,27115,1,2031,247,26,1,1,1,3,1,1,120,321,2004,2,1569,0,1,28,1,0,1,2,1994,4,47,0,14,2,43,1894,345,5,8,31,3583,13,17,247,1157,11,2,0,180,2,0,5,0,34,2,30,0,451,0,77,0,22950,17,4,2,26,1,44,1,2,3,2,814,0,11,3,5,37,14,42,1,1,10,28,2,1,2,1,0,34,188,0,40,3,44,44,3851,24,19,29,6,786,11,85,18,10,147,203,23,24,1,7,14,11,206,1,154,219,2,15,0,0,388,2,32,65,3,236,72,452,0,1,43,1,46,24,35,13,36,0,30,0,22,47,65,28,5,0,0,134,54,35,53,58,0,0,15,23,74,29,0,1,0,17,34,93,32,0,7,27,37,0,0,2,41,9,0,1,0,117,657,40,21,3,10,33,18,0,0,19,0,567,90,296,466,380,2,361,0,565,71,12,33,0,0,30,47,53,7,15,26,39,5,285,13,75,1,84,95,78,17,1,17,5,87,101,11,1,7,21,22,0,0,86,17,42,0,0,0,24,7,64,25,1,11,25,40,14,13,2,0,1,29,5,44,41,47,13,227,0,55,11,5,0,19,52,0,0,4
53,"WD2",48842,2,17,726,0,500,0,382,5,23,242,2,35,0,2,17,3,80,387,18,20,5901,0,0,85,2,66,1959,15,0,0,269,0,0,1,2,2,1,2,29,26,14,2,21,131,1,14,17,7,355,2,9,89,0,4,1,104,1,14,75,3,202,17,1,3,4,2,9253,14,23,58,1532,1,11,2,429,1,95,1,6,7,0,65,528,88,18,32,3,632,50,8,1128,9,4,2,81,1,0,6,2,7,10502,20,7,83,57,25,170,46,337,73,0,5,33,16,1,3,55,1,85,1,21,2,3,0,36,23,314,0,32,2,12,0,1,370,18,1,1,9,1,1,52,2,4,23,1,87,71,84,0,46,65,312,17,64,6,76,3,3,4,0,2,6,2,10,0,2243,153,138,135,18,0,80,1,2000,0,12,2324,4,1,38,3,55,6,175,7,1,471,5,17,8,0,2391,25,26,0,10,1,118,4,1,3,2,2,0,10,97,3,264,1,14,1,0,360,35,1,158,112,7,5,1,0,73,17,7,1,2711,4,13,92,43,2,2,6058,358,469,110,2,0,0,1,10,1,2,4,157,3220,8,10731,0,2,26,0,1,4,1,663,1,424,0,64,6,24,1432,3,4,4,161,2302,2,16,140,341,6,0,0,129,2,6,14,1,116,1,36,1,188,1,555,2,85262,21,74,0,8,1,39,0,6,5,10,299,2,4,5,116,54,227,54,5,3,19,27,1599,0,0,6,3,10,204,0,65,2,77,56,8773,93,25,37,2,4858,14,56,1,2,92,383,27,27,1,16,7,29,233,0,322,154,3,7,0,0,531,3,24,10,0,115,140,455,1,12,40,97,93,0,58,21,18,1,2,64,43,14,17,24,0,0,0,62,87,14,7,7,84,0,24,30,8,33,0,0,25,5,41,34,11,0,155,3,73,0,0,1,69,103,0,2,0,71,265,37,4,1,14,18,43,0,0,3,16,82,65,956,208,105,51,2,2,238,31,112,24,0,3,13,101,72,0,0,23,108,6,325,89,307,1,56,6,33,4,1,3,0,4,87,32,0,6,6,137,10,0,64,55,36,0,0,0,23,71,10,0,0,60,11,6,27,5,11,0,0,7,5,49,24,5,517,102,2,188,45,0,0,7,6,0,0,1
54,"WD2",52098,1,7,1212,0,20,0,7,2,8,67,0,18,4,0,22,1,49,216,18,24,3689,0,1,244,0,70,374,1,0,0,303,3,0,0,2,1,0,0,0,8,288,11,5,59,0,3,6,2,74,5,12,568,0,1,0,19,0,6,40,2,20,9,1,2,0,1,6748,6,3,32,73,4,7,2,427,0,48,1,5,5,0,402,220,43,2,9,4,102,12,7,522,15,6,0,38,0,0,4,0,0,1324,0,2,24,19,40,0,0,731,75,0,0,8,9,0,0,17,1,81,1,13,0,3,0,6,12,167,1,19,1,5,0,1,343,3,0,1,11,1,0,74,0,4,10,20,79,37,39,0,25,9,102,0,46,16,28,3,0,1,0,2,3,0,3,0,14,5,85,94,28,1,39,0,1354,0,14,124,7,0,27,0,48,1,1,0,0,79,1,1,4,0,2,4,12,3,5,1,8,21,2,3,2,0,0,6,37,21,173,0,1,0,4,148,17,1,133,24,1,2,4,0,48,26,3,13,1721,2,5,9,39,1,0,3378,4,338,10,3,2,0,0,6,0,3,50,39,1525,0,5896,0,1,12,0,0,5,1,273,1,42,0,2,4,8,784,0,0,3,56,136,8,19,9,254,2,0,2,12,3,1,8,1,52,7,22,2,25,0,67,1,45122,15,3,1,35,2,6,32,2,0,1,76,0,2,0,57,63,588,112,3,2,5,12,0,0,0,9,0,2,20,0,23,1,26,3,5825,8,18,9,1,49,7,4,2,2,28,216,14,10,1,1,4,7,32,0,157,90,7,8,1,0,434,1,4,31,0,81,45,99,2,2,16,2,50,1,43,10,27,0,0,4,7,1,5,28,0,0,0,7,53,10,10,9,0,0,13,1,2,13,0,0,1,11,24,11,5,0,0,2,25,1,0,1,64,66,0,0,0,60,206,21,3,22,3,16,30,0,0,4,3,87,35,241,233,112,7,60,2,151,10,18,14,0,0,8,50,21,0,2,24,5,1,141,17,148,0,42,16,20,0,0,2,1,6,79,13,4,1,2,89,0,0,35,28,31,0,0,0,16,6,3,2,0,35,1,9,20,2,7,0,0,6,0,20,17,4,67,96,0,105,14,1,0,9,3,0,0,0
29,"WD6",62565,1,9,4946,4,995,0,14,1,35,377,0,90,1,1,225,4,30,207,14,102,4726,0,5,16,9,162,6445,13,1,1,616,0,27,0,2,1,2,2,221,32,1326,784,12,59,4,0,10,6,64,6,20,333,0,2,2,116,1,46,30,4,64,2,1,2,5,4,7569,1,110,30,147,7,9,11,152,2,32,8,1,3,1,496,175,47,12,52,3,28,785,14,3358,1988,1,0,134,84,2,4,0,1,337,6,19,238,1013,64,8,0,2316,99,3,1,12,4,2,1,69,0,166,23,30,9,2,0,2,29,128,2,0,1,11,0,4,7,46,2,0,917,0,3,110,0,4,65,6,4,41,62,10,21,36,1567,36,54,2,49,9,1,173,1,4,8,2,6,3,97,3,0,9,4,0,41,5,9050,110,30,20,2,0,9,3,44,3,1,0,0,1,3,16,26,0,3,50,22,8,24,2,20,31,13,0,1,4,1,77,402,2,468,0,3,1,1,557,31,1,209,26,0,1,0,4,32,7,5,13,961,2,12,398,3,2,2,22246,18,973,657,48,0,0,1,17,0,2,440,535,3909,0,279,1,0,39,1,0,1,2,1586,2,0,0,17,7,159,1378,1,4,5,54,1584,4,32,227,4438,11,3,0,80,2,1,1,2,58,47,21,3,694,0,685,4,43918,41,11,0,9,1,48,23,2,2,3,986,0,20,8,0,43,19,36,12,5,16,47,203,2,1,9,1,18,709,0,45,260,42,48,5,27,53,9,20,799,7,45,10,5,132,12,24,23,1,31,10,8,1,0,87,325,10,22,1,0,52,2,11,7,6,123,244,371,0,1,15,1,16,31,2,27,51,1,22,0,24,35,32,31,70,3,0,29,33,21,57,14,0,0,9,68,19,29,0,0,0,18,30,74,22,0,16,34,27,1,0,4,53,3,1,0,0,81,269,69,39,72,26,28,13,0,0,20,0,297,133,383,267,181,6,154,1,233,132,7,15,0,0,21,9,10,5,11,27,43,7,224,14,185,0,54,26,23,27,0,13,11,31,89,8,17,7,16,2,0,0,65,19,32,0,0,0,23,7,15,54,0,16,10,41,15,11,5,0,2,24,28,30,40,27,13,136,0,76,24,6,0,25,11,0,0,9
34,"WD6",63921,5,14,2915,0,4,1,4325,2,25,463,0,22,1,2,520,2,115,757,12,41,3665,0,1,47,1,423,11061,9,0,1,1427,2,0,0,1,2,1,2,141,35,10,3543,17,39,4,2,12,5,4,2,2,167,0,4,0,318,0,39,25,4,299,8,0,4,1,1,7825,0,656,73,143,5,16,3,55,3,39,1,6,12,1,2850,219,17,16,266,1,50,437,21,2869,6717,2,0,313,222,3,3,3,0,640,8,18,198,64,1,7,1,1347,202,1,0,73,0,49,5,54,2,71,0,17,2,2,0,7,27,91,0,41,1,3,0,3,5,114,2,387,5276,3,4,32,4,3,66,0,186,17,116,97,18,294,2435,180,56,339,62,73,1,883,0,4,532,3,13,0,27,6,0,6,1,0,95,6,21195,0,23,13,7,1,7,1,72,3,3,1,0,114,8,204,35,0,2,112,17,28,22,0,111,285,24,2,1,1,0,50,887,3,1146,0,2,0,0,1511,139,3,4369,1,1,2,0,0,46,2,0,0,930,10,8,131,0,2,2,52875,3,5019,323,44,0,0,1,10,0,4,6831,584,2341,0,28,1,1,64,2,1,2,5,381,2,29,1,16,4,71,1960,702,3,8,93,2471,74,15,186,8089,7,0,3,116,1,0,37,0,36,0,50,3,692,0,274,0,23800,86,0,1,17,200,29,2,3,18,2,716,0,31,6,0,33,10,95,7,111,17,47,12,4,3,0,1,45,3775,0,27,1,54,184,5,15,217,107,75,596,9,12,33,1037,227,3,33,18,0,8,4,11,466,0,328,252,4,25,0,0,31,3,8,12,1,627,89,355,3,0,31,2,27,209,1,29,26,0,70,0,40,96,164,36,114,0,0,35,9,34,141,54,0,0,15,169,31,25,0,0,0,30,67,323,106,1,9,214,58,0,0,2,30,0,3,1,0,187,805,38,79,0,2,15,16,5,1,70,0,626,120,539,244,443,3,324,4,751,248,20,63,0,69,84,0,13,3,57,79,32,3,349,31,72,0,80,83,60,116,2,37,22,21,123,11,0,3,31,0,0,1,160,14,72,0,0,0,39,2,29,123,0,14,6,93,19,27,105,0,0,106,4,45,87,53,12,109,1,55,14,16,0,7,78,0,0,40
59,"WD2",105744,2,36,8068,0,89,0,0,1,8,81,0,126,0,0,70,0,41,264,6,140,1323,1,1,106,1,112,318,7,0,0,426,1,0,1,5,0,2,0,19,12,16,13,10,50,3,3,1,5,366,1,4,183,0,2,0,29,6,24,71,1,2,9,0,4,0,2,4209,0,69,37,121,5,15,2,327,3,47,1,0,2,2,509,257,56,5,19,3,141,140,10,666,83,6,0,71,1,0,3,0,6,1400,1,28,123,37,37,4,5,1363,284,0,0,22,9,0,1,39,2,29,1,29,1,2,0,7,45,7,0,1,2,7,1,3,106,19,1,0,13,1,1,62,0,2,15,41,103,51,31,1,7,22,322,17,47,0,39,12,8,1,0,1,16,1,17,0,20,9,11,4,3,0,42,1,642,1,24,65,8,1,11,2,35,2,6,0,0,19,4,1,19,0,1,55,16,5,6,0,19,67,18,3,1,1,0,12,44,1,303,0,0,1,9,525,1,2,9,122,2,1,1,0,80,6,1,7,1274,6,17,1,3,1,1,14263,5,591,238,3,1,1,1,6,0,2,20,194,106,1,1128,0,1,26,0,1,1,2,1664,2,3,0,10,1,22,1011,0,2,3,93,488,3,2,169,2159,4,1,1,44,3,1,11,0,67,0,20,0,14,0,256,1,55797,11,1,0,28,1,18,5,2,1,5,204,1,12,3,8,54,24,98,2,1,7,18,24,1,0,10,0,0,24,0,39,19,55,34,494,3,15,13,3,240,17,16,3,14,93,77,14,28,1,4,9,15,110,0,131,233,2,10,1,0,17,4,18,48,0,46,101,111,4,0,31,0,33,40,13,35,24,0,17,1,2,30,17,44,2,0,0,30,17,22,5,60,0,0,6,0,31,13,0,0,1,31,32,40,3,1,8,45,2,2,0,2,68,5,1,0,0,33,339,13,11,1,16,33,32,0,0,20,1,42,125,419,454,76,12,188,0,352,34,16,19,0,0,4,35,77,5,6,19,16,0,187,19,216,0,79,8,80,35,1,8,4,52,89,10,1,7,7,10,0,1,35,35,39,1,0,1,18,6,53,0,0,24,18,24,21,2,0,0,0,3,1,9,8,25,53,199,0,133,16,4,0,42,44,0,0,8
60,"WD2",86177,2,55,3656,1,198,0,7,3,20,520,0,345,77,0,49,3,122,769,12,75,2233,0,0,281,1,305,697,27,0,1,1426,2,0,1,4,1,1,4,48,35,1653,2,15,109,3,19,7,6,573,7,12,131,0,4,0,83,1,11,57,1,23,8,2,5,3,0,8524,13,57,45,1157,8,10,0,1152,10,28,1,2,2,0,551,270,61,66,12,12,1141,165,13,1181,14,2,2,800,0,2,20,3,2,4959,3,15,154,102,98,11,14,1678,246,0,16,60,9,1,3,81,5,241,0,32,0,2,0,33,36,94,0,2,4,67,0,2,300,34,1,0,5,1,2,190,0,6,37,35,262,22,64,1,23,37,750,10,58,2,52,13,0,0,0,2,5,1,39,0,15,145,27,3,1,0,67,1,5175,4,39,1232,5,0,35,0,42,1,95,2,0,1,7,2,46,22,5,77,12,3,10,1,74,25,0,3,1,0,1,21,99,2,484,0,1,0,7,595,0,0,48,214,4,5,5,0,75,54,4,6,974,4,72,0,14,1,5,41046,2,745,922,27,1,0,0,7,0,6,49,224,964,5,3620,1,1,50,3,0,5,3,1751,3,0,0,41,3,22,1488,1,1,6,97,1304,10,3,80,484,10,2,1,370,5,3,81,0,59,51,28,1,182,0,514,2,55844,32,5,0,37,0,30,7,3,0,26,574,1,43,4,22,123,49,166,2,0,72,37,225,1,6,18,0,3,68,9,72,5,56,21,5978,35,22,31,0,222,24,91,3,1,107,450,27,21,0,7,6,32,144,0,404,306,4,9,1,0,31,0,45,33,0,81,122,267,3,5,28,1,123,9,112,43,37,0,32,28,13,91,95,87,0,0,0,44,121,38,25,25,0,0,21,4,15,22,0,0,7,36,49,122,25,0,11,9,15,0,0,1,98,15,1,3,0,93,824,28,29,86,15,25,18,0,0,1,9,282,263,483,392,199,37,309,0,754,48,48,33,0,0,28,106,84,6,0,24,36,12,304,21,239,0,71,35,54,6,0,30,1,20,179,14,41,4,36,38,8,0,93,27,68,0,0,0,22,35,27,0,0,42,24,73,15,12,2,1,0,15,5,38,45,45,172,187,1,121,16,0,0,30,28,0,0,2
25,"WD6",42399,4,6,6580,5,129,9,12,1,40,272,2,86,2,0,60,1,7,80,15,128,2710,1,3,109,2,184,2867,3,0,1,653,1,1,1,3,1,0,0,13,15,21,606,4,88,2,1,4,65,2,16,8,264,3,0,0,146,1,11,60,0,177,3,3,4,9,8,6882,0,1,33,345,4,21,23,725,0,52,5,1,1,2,452,78,33,0,70,1,92,340,9,884,1354,1,0,99,34,0,5,0,10,458,3,11,85,70,7,8,7,1205,54,0,1,80,3,2,4,78,0,57,4,14,4,2,1,9,27,85,0,11,0,15,1,0,3,35,0,0,947,3,1,140,0,1,34,1,32,26,46,3,10,13,750,53,42,1,50,6,2,104,2,3,23,0,22,2,41,6,2,6,1,2,40,2,4597,0,10,10,196,1,15,1,72,1,2,1,40,10,0,3,12,0,9548,78,10,3,6,2,18,41,4,2,1,1,0,26,348,2,317,1,1,1,0,684,25,1,626,3,2,1,1,0,10,13,3,0,1520,3,9,175,3,3,1,14300,2,1107,77,19,1,0,2,31,0,4,1032,108,1995,3,712,3,1,13,3,51,0,2,1259,6,5,0,19,32,37,864,131,6,11,22,632,8,13,83,3652,4,3,1,9,2,1,6,0,39,0,21,0,274,1,70,11,28834,24,1,11,11,8,27,0,4,3,0,388,3,17,2,5,26,156,47,1,24,23,21,5,0,5,11,0,11,92,1,23,4,47,29,2809,17,151,4,11,496,9,21,3,44,127,18,19,16,0,6,8,0,3,0,132,153,7,7,1,0,49,12,18,8,5,157,285,266,2,0,12,1,4,13,4,12,28,0,5,1,11,33,12,18,16,1,0,10,61,5,8,6,209,0,17,21,4,26,0,0,0,5,10,33,24,0,9,16,16,0,0,2,42,1,0,1,0,34,105,14,27,0,16,10,7,0,0,9,0,95,52,161,171,61,2,261,1,60,56,1,4,2,0,8,3,5,2,4,21,10,1,252,17,93,1,22,8,9,17,0,11,12,41,46,11,1,3,5,0,0,0,10,1,20,0,0,0,5,13,21,33,0,10,8,18,4,9,17,0,2,8,6,16,12,14,6,91,0,41,7,7,2,14,6,0,0,4
13,"WD8",23041,1,15,2859,0,21,1,1,0,3,61,0,14,0,0,266,0,4,53,13,42,613,0,110,268,0,17,1372,12,0,0,111,0,0,0,3,0,0,0,45,11,4,281,2,17,0,1,1,1,13,0,2,255,0,3,0,76,2,5,11,0,43,6,2,2,0,0,4075,1,1,14,173,4,12,2,31,4,20,0,1,0,0,477,50,22,20,0,0,23,169,8,748,1864,0,0,189,56,0,2,1,1,687,0,1,160,46,7,1,0,1758,40,12,1,25,0,0,1,39,1,24,0,14,0,0,0,4,13,2,0,0,0,2,0,1,0,15,2,34,428,1,1,41,0,1,22,0,133,18,26,8,7,0,479,0,15,27,22,4,2,104,0,1,1,0,1,0,6,37,0,2,1,0,18,0,3300,2,19,5,3,0,16,1,0,1,1,1,1,22,0,24,4,0,1809,35,6,5,4,0,9,11,7,1,1,0,0,67,109,0,363,0,0,0,0,465,3,1,27,7,1,1,0,0,10,31,3,0,374,0,15,0,0,1,1,6658,1,1087,137,4,0,0,1,4,1,2,446,132,22,0,9,0,0,24,0,0,0,0,232,0,28,0,5,1,24,476,91,1,120,15,1073,3,24,181,2137,3,1,0,51,0,0,3,0,31,0,12,0,7,0,205,1,17595,14,4,0,8,0,16,0,2,9,3,202,1,0,3,0,81,4,155,0,3,15,14,57,0,3,6,0,7,207,0,46,1,22,16,2,5,11,4,14,3,3,35,13,0,115,0,6,9,0,2,22,4,188,0,22,146,2,8,0,0,14,1,26,3,1,129,33,275,1,0,13,0,3,6,0,10,29,0,4,0,0,13,23,12,49,0,0,11,4,3,7,9,80,0,4,11,5,14,0,0,0,5,7,35,25,0,0,10,0,0,0,0,12,0,0,0,0,8,76,7,19,0,7,7,4,0,0,3,0,88,42,133,104,48,1,100,0,42,85,5,4,0,0,1,0,4,0,10,26,22,6,94,4,74,0,18,10,8,10,0,5,10,19,17,0,0,6,3,0,0,0,10,1,6,0,0,0,4,5,12,17,0,7,5,8,4,1,0,0,0,5,1,14,8,13,25,59,0,23,5,4,0,15,8,0,0,8
